,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-09-21 17:56:55,2023-09-21 17:56:55,21485,1354.0,12341,758,22983,719,7281,31760,2023-09-07 18:08:24,2.7.1,538242.0,5548.0,70,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8002.0,8002.0,2988,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-09-21 16:24:59,2023-09-21 15:03:03,4709,307.0,2864,202,5515,847,4500,13450,2023-09-08 01:14:16,3.4.11,2724324.0,100900.0,100,Workflow Engine for Kubernetes.,192.0,192.0,808,39,True,2,1.0,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-09-21 17:43:31,2023-09-21 01:45:31,4660,461.0,3455,293,6351,1043,2103,15297,2023-09-17 21:48:08,2.7.1,,,75,Open source platform for the machine learning lifecycle.,23878.0,23878.0,637,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-09-21 17:30:01,2023-09-21 06:20:27,8990,167.0,1064,136,5165,567,3902,11980,2023-09-18 22:30:40,3.22.0,37290.0,3107.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,9433.0,9433.0,288,37,True,1,-1.0,,
4,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-09-21 17:53:16,2023-09-21 16:34:02,5791,220.0,2362,299,3719,628,2951,27225,2023-09-20 19:43:02,1.26.0,,,63,Streamlit A faster way to build and share data apps.,987.0,987.0,197,35,True,1,1.0,['python'],
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-09-21 17:46:11,2023-09-20 19:03:55,5674,390.0,1476,134,2470,417,2378,22043,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",13705.0,13705.0,205,35,True,1,,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-09-21 18:01:13,2023-09-21 18:01:12,15798,1000.0,1034,102,10046,1636,4272,8498,2023-09-20 20:25:19,1.4.15,,,100,"An orchestration platform for the development, production, and observation of data assets.",1508.0,1508.0,343,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-09-11 15:57:15,2023-08-29 16:49:04,7007,114.0,1857,412,988,731,830,19368,2023-08-28 15:33:00,2.13.0,,,62,Data Apps & Dashboards for Python. No JavaScript Required.,51732.0,51732.0,140,34,True,3,,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-09-21 09:41:08,2023-09-20 13:20:23,1272,43.0,786,56,1535,325,1166,2444,2023-08-07 01:19:59,0.11.0,536740.0,11182.0,25,Standardized Serverless ML Inference Platform on Kubernetes.,227.0,227.0,211,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-09-21 10:25:13,2023-09-21 09:04:37,2485,27.0,2106,364,3496,196,3565,12983,2023-03-29 15:38:55,1.7.0,79066.0,1197.0,83,Machine Learning Toolkit for Kubernetes.,41.0,41.0,296,32,True,3,-1.0,,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-09-21 10:25:13,2023-09-21 09:04:37,2485,27.0,2106,364,3496,196,3565,12983,2023-03-29 15:38:55,1.7.0,79066.0,1197.0,83,Machine Learning Toolkit for Kubernetes.,41.0,41.0,296,32,True,1,-1.0,,
11,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-09-21 17:56:51,2023-09-21 15:12:07,22034,220.0,551,164,6260,700,2387,5976,2023-09-20 15:04:57,2.7.3,22642.0,4528.0,100,Data-Centric Pipelines and Data Versioning.,,,185,32,True,3,,,
