,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-02-01 17:20:33,2024-02-01 13:39:18,22960,1016.0,12838,755,24656,733,7802,33309,2024-01-19 13:09:58,2.8.1,589116.0,5775.0,75,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9384.0,9384.0,3164,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-02-01 15:42:43,2024-02-01 04:16:18,5045,223.0,2961,204,5968,916,4646,13986,2024-01-14 06:19:09,3.5.4,3570501.0,115177.0,100,Workflow Engine for Kubernetes.,244.0,244.0,837,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-02-01 13:15:54,2024-02-01 13:15:35,9173,123.0,1115,138,5356,513,4060,12830,2024-02-01 13:15:55,3.43.1,44294.0,3691.0,100,ML Experiments Management with Git.,12419.0,12419.0,290,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-02-01 17:55:53,2024-02-01 17:55:53,5297,324.0,3671,293,7361,1089,2311,16529,2024-01-26 07:18:31,2.10.0,,,81,Open source platform for the machine learning lifecycle.,29653.0,29653.0,694,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-02-01 17:10:49,2024-02-01 17:08:08,6209,350.0,1794,146,3264,436,3184,25996,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",22059.0,22059.0,251,35,True,1,['python'],-1.0,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-02-01 18:01:48,2024-02-01 13:56:38,17041,710.0,1164,109,11563,1968,4559,9517,2024-01-29 23:48:02,1.6.2,,,100,"An orchestration platform for the development, production, and observation of data assets.",1911.0,1911.0,391,35,True,2,,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-01-31 15:36:01,2024-01-31 15:36:01,1372,73.0,848,62,1691,301,1296,2738,2023-11-15 14:13:33,0.11.2,945999.0,17849.0,29,Standardized Serverless ML Inference Platform on Kubernetes.,318.0,318.0,225,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-02-01 00:25:39,2024-01-31 16:05:50,7124,55.0,1913,418,1015,773,855,20016,2024-01-31 18:19:00,2.15.0,66.0,1.0,66,Data Apps & Dashboards for Python. No JavaScript Required.,57712.0,57712.0,143,33,True,2,['python'],1.0,
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-01-29 14:40:54,2024-01-27 17:22:15,2534,20.0,2153,364,3601,195,3629,13388,2023-11-01 13:36:46,1.8.0,79311.0,1117.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,304,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-01-29 14:40:54,2024-01-27 17:22:15,2534,20.0,2153,364,3601,195,3629,13388,2023-11-01 13:36:46,1.8.0,79311.0,1117.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,304,33,True,1,,,
10,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2024-01-23 14:23:07,2024-01-23 10:42:08,4100,12.0,2293,478,2293,95,881,17070,2024-01-15 15:33:51,3.5.0,,,58,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2296.0,2296.0,614,32,True,3,,,
11,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2024-02-01 11:34:40,2024-02-01 11:34:39,2903,224.0,698,71,3253,189,790,6236,2023-12-28 21:36:24,1.1.11,2052.0,36.0,100,Build Production-Grade AI Applications.,1487.0,1487.0,194,32,True,2,"['tensorflow', 'pytorch', 'onnx']",1.0,
12,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2024-02-01 14:02:36,2024-02-01 14:02:33,8251,233.0,2119,239,746,46,1397,6051,2023-11-21 22:22:47,2.14.1,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,224,32,True,2,['tensorflow'],,
13,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2024-02-01 17:44:33,2024-01-31 21:33:58,22256,117.0,557,163,6608,701,2387,6039,2024-01-31 19:00:54,2.8.4,26232.0,3279.0,100,Data-Centric Pipelines and Data Versioning.,,,190,31,True,3,,,
14,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2024-02-01 14:58:51,2024-01-31 06:26:53,3654,72.0,776,57,1418,305,1193,3849,2023-10-13 00:21:43,0.9.0,5517.0,119.0,20,"Serve, optimize and scale PyTorch models in production.",597.0,597.0,184,31,True,3,['pytorch'],,
