,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-02-08 17:58:38,2024-02-08 17:58:37,23029,982.0,12881,755,24733,733,7831,33417,2024-01-19 13:09:58,2.8.1,591711.0,5801.0,75,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9479.0,9479.0,3175,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-02-08 14:17:27,2024-02-08 09:41:07,5061,229.0,2967,204,5989,921,4654,14015,2024-01-14 06:19:09,3.5.4,3627403.0,117013.0,100,Workflow Engine for Kubernetes.,245.0,245.0,840,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-02-08 12:15:38,2024-02-08 12:15:37,9183,123.0,1115,137,5370,514,4064,12862,2024-02-01 13:15:55,3.43.1,44348.0,3695.0,100,ML Experiments Management with Git.,12621.0,12621.0,290,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-02-08 17:48:07,2024-02-08 17:16:14,5356,357.0,3698,292,7426,1096,2320,16715,2024-02-06 12:13:09,2.10.1,,,82,Open source platform for the machine learning lifecycle.,30063.0,30063.0,697,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-02-08 18:05:38,2024-02-08 17:31:16,6249,360.0,1817,145,3307,430,3235,26183,2024-02-06 23:26:32,@gradio/wasm@0.6.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",22504.0,22504.0,254,35,True,1,['python'],-1.0,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-02-08 17:43:13,2024-02-08 17:43:12,17109,709.0,1170,109,11647,1982,4577,9565,2024-02-01 22:36:53,1.6.3,,,100,"An orchestration platform for the development, production, and observation of data assets.",1931.0,1931.0,395,35,True,2,,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-02-08 13:36:20,2024-02-07 19:52:36,1377,71.0,851,61,1699,306,1298,2753,2023-11-15 14:13:33,0.11.2,977236.0,18438.0,29,Standardized Serverless ML Inference Platform on Kubernetes.,322.0,322.0,225,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-02-08 09:54:53,2024-02-06 17:02:18,7138,69.0,1917,418,1022,776,858,20069,2024-01-31 18:19:00,2.15.0,66.0,1.0,66,Data Apps & Dashboards for Python. No JavaScript Required.,58032.0,58032.0,144,33,True,2,['python'],1.0,
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-02-05 19:29:12,2024-01-27 17:22:15,2534,20.0,2156,363,3602,196,3629,13407,2023-11-01 13:36:46,1.8.0,79319.0,1117.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,304,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-02-05 19:29:12,2024-01-27 17:22:15,2534,20.0,2156,363,3602,196,3629,13407,2023-11-01 13:36:46,1.8.0,79319.0,1117.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,304,33,True,1,,,
10,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2024-01-23 14:23:07,2024-01-23 10:42:08,4100,12.0,2293,477,2293,95,881,17089,2024-01-15 15:33:51,3.5.0,,,58,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2300.0,2300.0,614,32,True,3,,,
11,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2024-02-08 06:10:23,2024-02-08 06:10:23,2923,238.0,699,72,3275,192,791,6261,2024-02-05 07:42:14,1.2.2,1975.0,35.0,100,Build Production-Grade AI Applications.,1532.0,1532.0,194,32,True,2,"['tensorflow', 'pytorch', 'onnx']",1.0,
12,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2024-02-08 14:02:20,2024-02-08 14:02:17,8278,235.0,2118,239,747,47,1397,6054,2023-11-21 22:22:47,2.14.1,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,224,32,True,2,['tensorflow'],,
13,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2024-02-08 17:33:47,2024-02-07 23:13:29,22262,111.0,557,163,6622,701,2387,6042,2024-01-31 19:00:54,2.8.4,26708.0,3338.0,100,Data-Centric Pipelines and Data Versioning.,,,190,31,True,3,,,
14,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2024-02-08 08:18:52,2024-02-08 06:56:45,3659,73.0,776,57,1425,307,1194,3863,2023-10-13 00:21:43,0.9.0,5518.0,119.0,20,"Serve, optimize and scale PyTorch models in production.",598.0,598.0,184,31,True,3,['pytorch'],,
15,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2024-02-08 07:20:17,2024-02-06 14:18:01,2291,50.0,605,91,245,423,520,5051,2024-02-07 07:44:14,1.14.2,2042.0,36.0,93,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",933.0,933.0,88,30,True,3,,,
16,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-02-08 17:49:27,2024-02-08 17:49:26,6092,161.0,2645,305,4116,713,3185,30045,2024-02-01 17:57:10,1.31.0,,,72,Streamlit A faster way to build and share data apps.,,,219,29,True,3,['python'],,
17,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2024-02-08 17:08:09,2024-02-07 18:52:08,3277,74.0,1312,134,3434,355,2945,6847,2024-01-30 01:16:56,2.42.0,207291.0,3290.0,63,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,112,29,True,3,"['tensorflow', 'pytorch']",,
18,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/HumanSignal/labelImg,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2024-01-04 20:24:05,2022-09-22 22:12:32,449,,5865,396,244,399,364,21389,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,1137.0,1137.0,109,28,False,1,,,HumanSignal/labelImg
19,voila,data-visualization,voila-dashboards/voila,https://github.com/voila-dashboards/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42,2024-02-07 10:00:48,2024-02-07 10:00:20,1443,11.0,474,77,727,282,425,5098,2023-10-31 09:04:25,0.5.5,1032.0,35.0,44,Voil turns Jupyter notebooks into standalone web applications.,10752.0,10752.0,68,28,False,3,,,
20,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2024-02-08 15:37:56,2024-02-08 15:37:13,845,41.0,659,275,1120,242,355,7341,2024-02-08 15:38:36,2.11.2,,,100,"Build and manage real-life ML, AI, and data science projects with ease!.",585.0,585.0,81,27,True,3,,,
21,Seldon,model-serving,SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,,2017-12-20 14:51:54,2024-02-08 17:34:04,2024-02-08 11:29:10,7314,10.0,805,85,3009,95,2184,4109,2024-01-22 14:02:25,1.18.0,880.0,12.0,64,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models.",535.0,535.0,203,27,False,3,"['tensorflow', 'pytorch', 'onnx']",-1.0,
22,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-11-13 07:23:02,2023-11-13 07:19:19,1344,1.0,364,71,366,97,460,4135,2023-11-13 07:23:02,0.8.5,,,13,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2841.0,2841.0,105,25,True,3,,-1.0,
23,TFX,model-training,tensorflow/tfx,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36,2024-02-08 09:26:08,2024-02-08 06:24:02,5529,147.0,675,89,5743,34,849,2052,2023-09-06 18:31:57,1.14.0,,,91,TFX is an end-to-end platform for deploying production ML pipelines.,,,182,25,True,1,['tensorflow'],,
