,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-02-15 17:00:46,2024-02-15 16:56:26,23147,1016.0,12914,756,24871,736,7868,33509,2024-02-12 04:30:06,helm-chart/1.12.0,593878.0,5822.0,76,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9579.0,9579.0,3187,42,True,1,-1.0,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-02-15 16:57:03,2024-02-15 16:57:03,5076,226.0,2974,204,5999,929,4660,14030,2024-01-14 06:19:09,3.5.4,3680879.0,118738.0,100,Workflow Engine for Kubernetes.,251.0,251.0,845,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-02-15 15:20:48,2024-02-15 03:18:30,9186,120.0,1114,137,5376,514,4065,12881,2024-02-09 00:17:42,3.44.0,43848.0,3654.0,100,ML Experiments Management with Git.,12799.0,12799.0,290,38,True,1,,,
3,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-02-15 17:32:34,2024-02-14 23:32:26,6121,180.0,2659,307,4144,716,3196,30160,2024-02-12 17:53:30,1.31.1,,,73,Streamlit A faster way to build and share data apps.,308314.0,308314.0,220,37,True,1,8.0,['python'],
4,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-02-15 16:36:38,2024-02-15 09:50:02,5402,362.0,3718,293,7494,1101,2336,16759,2024-02-09 12:58:56,2.10.2,,,83,Open source platform for the machine learning lifecycle.,30384.0,30384.0,701,37,True,1,,,
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-02-15 17:27:04,2024-02-15 17:24:02,6285,354.0,1833,145,3347,425,3283,26289,2024-02-14 22:24:37,@gradio/video@0.6.1,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",22855.0,22855.0,258,35,True,2,-1.0,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-02-15 17:57:28,2024-02-15 17:57:28,17171,700.0,1178,109,11755,1993,4592,9615,2024-02-08 22:41:21,1.6.4,,,100,"An orchestration platform for the development, production, and observation of data assets.",1956.0,1956.0,396,35,True,2,,,
7,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-02-15 17:11:14,2024-02-15 04:56:46,1383,75.0,853,61,1714,311,1302,2764,2023-11-15 14:13:33,0.11.2,1006265.0,18986.0,29,Standardized Serverless ML Inference Platform on Kubernetes.,326.0,326.0,225,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
8,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-02-15 17:50:26,2024-02-15 15:09:03,7247,178.0,1921,419,1026,776,860,20112,2024-01-31 18:19:00,2.15.0,70.0,1.0,66,Data Apps & Dashboards for Python. No JavaScript Required.,58271.0,58271.0,147,33,True,3,1.0,['python'],
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-02-15 09:08:17,2024-01-27 17:22:15,2534,20.0,2158,363,3602,199,3629,13422,2023-11-01 13:36:46,1.8.0,79328.0,1117.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,304,33,True,3,,,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-02-15 09:08:17,2024-01-27 17:22:15,2534,20.0,2158,363,3602,199,3629,13422,2023-11-01 13:36:46,1.8.0,79328.0,1117.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,304,33,True,1,,,
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2024-02-15 15:59:59,2024-01-23 10:42:08,4100,12.0,2295,475,2294,95,881,17109,2024-01-15 15:33:51,3.5.0,,,58,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2308.0,2308.0,613,32,True,3,,,
12,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2024-02-10 11:41:03,2024-02-08 06:10:23,2923,232.0,702,72,3276,196,792,6293,2024-02-05 07:42:14,1.2.2,1975.0,35.0,100,Build Production-Grade AI Applications.,1558.0,1558.0,194,32,True,2,1.0,"['tensorflow', 'pytorch', 'onnx']",
13,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2024-02-15 14:02:33,2024-02-15 14:02:30,8303,236.0,2119,238,747,48,1397,6055,2023-11-21 22:22:47,2.14.1,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,224,32,True,2,,['tensorflow'],
14,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2024-02-15 16:45:05,2024-02-15 15:56:49,22280,116.0,557,163,6646,701,2387,6044,2024-01-31 19:00:54,2.8.4,27571.0,3446.0,100,Data-Centric Pipelines and Data Versioning.,,,192,31,True,3,,,
15,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2024-02-15 02:26:29,2024-02-13 22:43:24,3669,77.0,776,57,1435,311,1194,3869,2023-10-13 00:21:43,0.9.0,5544.0,120.0,20,"Serve, optimize and scale PyTorch models in production.",600.0,600.0,184,31,True,3,,['pytorch'],
16,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2024-02-15 17:35:34,2024-02-15 17:30:05,2303,59.0,610,91,246,424,522,5066,2024-02-12 13:05:39,1.14.3,2075.0,37.0,94,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",940.0,940.0,89,30,True,3,,,
