,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-12-28 17:13:48,2023-12-28 15:48:33,22575,994.0,12733,755,24241,750,7648,32870,2023-12-18 19:16:17,2.8.0,578440.0,5784.0,74,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8973.0,8973.0,3120,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-12-28 15:21:29,2023-12-25 02:55:38,4965,237.0,2930,204,5852,920,4593,13854,2023-11-27 19:16:42,3.5.2,3318389.0,114427.0,100,Workflow Engine for Kubernetes.,223.0,223.0,826,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-12-28 07:08:55,2023-12-28 06:08:45,9135,127.0,1104,137,5317,519,4029,12700,2023-12-28 07:08:55,3.37.0,47199.0,4290.0,100,ML Experiments Management with Git.,11484.0,11484.0,290,38,True,1,1.0,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-12-28 15:48:29,2023-12-28 01:28:04,5181,487.0,3617,291,7210,1059,2287,16138,2023-12-14 15:34:34,2.9.2,,,80,Open source platform for the machine learning lifecycle.,27965.0,27965.0,683,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-12-28 16:32:06,2023-12-27 22:16:56,6070,358.0,1725,144,3095,429,2995,25152,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",19811.0,19811.0,238,36,True,1,1.0,['python'],
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-12-28 17:34:38,2023-12-28 16:40:03,16745,804.0,1120,105,11213,1898,4501,9249,2023-12-14 19:19:44,1.5.13,,,100,"An orchestration platform for the development, production, and observation of data assets.",1805.0,1805.0,375,35,True,2,,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-12-28 10:43:39,2023-12-25 15:35:36,1345,70.0,827,61,1654,314,1253,2670,2023-11-15 14:13:33,0.11.2,823673.0,16150.0,28,Standardized Serverless ML Inference Platform on Kubernetes.,297.0,297.0,224,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-12-16 18:16:41,2023-12-16 18:16:41,7091,60.0,1904,414,1006,767,849,19853,2023-11-28 00:56:54,2.14.2,30.0,0.0,65,Data Apps & Dashboards for Python. No JavaScript Required.,56259.0,56259.0,143,33,True,2,-1.0,['python'],
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-26 15:41:59,2023-12-19 06:37:38,2519,33.0,2141,362,3590,190,3619,13273,2023-11-01 13:36:46,1.8.0,79261.0,1148.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-26 15:41:59,2023-12-19 06:37:38,2519,33.0,2141,362,3590,190,3619,13273,2023-11-01 13:36:46,1.8.0,79261.0,1148.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,1,,,
