,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-02-22 18:03:17,2024-02-22 15:34:24,23245,1036.0,12949,755,24986,736,7906,33606,2024-02-12 04:30:06,helm-chart/1.12.0,596003.0,5843.0,76,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9643.0,9643.0,3197,42,True,1,-1.0,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-02-22 03:50:24,2024-02-22 02:09:51,5092,219.0,2976,203,6012,916,4680,14044,2024-01-14 06:19:09,3.5.4,3735327.0,120494.0,100,Workflow Engine for Kubernetes.,253.0,253.0,849,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-02-22 14:43:15,2024-02-21 01:05:31,9191,119.0,1113,136,5380,517,4067,12906,2024-02-21 01:09:43,3.47.0,43338.0,3939.0,100,ML Experiments Management with Git.,12957.0,12957.0,290,38,True,1,,,
3,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-02-22 15:55:17,2024-02-22 13:40:40,6130,185.0,2665,307,4157,726,3199,30300,2024-02-12 17:53:30,1.31.1,,,73,Streamlit A faster way to build and share data apps.,312854.0,312854.0,221,37,True,1,8.0,['python'],
4,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-02-22 17:24:45,2024-02-22 08:41:12,5449,399.0,3723,293,7554,1103,2346,16802,2024-02-09 12:58:56,2.10.2,,,83,Open source platform for the machine learning lifecycle.,30719.0,30719.0,701,37,True,1,,,
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-02-22 17:57:43,2024-02-22 16:08:29,6319,355.0,1849,145,3380,443,3306,26468,2024-02-16 20:35:24,@gradio/slider@0.2.10,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",23312.0,23312.0,260,35,True,2,-1.0,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-02-22 18:07:01,2024-02-22 18:06:03,17261,764.0,1185,110,11860,2008,4600,9668,2024-02-15 20:08:12,1.6.5,,,100,"An orchestration platform for the development, production, and observation of data assets.",1984.0,1984.0,402,35,True,2,,,
7,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-02-22 18:03:20,2024-02-21 16:23:50,1399,87.0,866,59,1730,318,1307,2802,2023-11-15 14:13:33,0.11.2,1034547.0,19519.0,29,Standardized Serverless ML Inference Platform on Kubernetes.,330.0,330.0,227,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
8,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-02-22 07:46:07,2024-02-15 15:09:03,7247,171.0,1921,418,1028,781,861,20162,2024-01-31 18:19:00,2.15.0,70.0,1.0,66,Data Apps & Dashboards for Python. No JavaScript Required.,58600.0,58600.0,147,33,True,3,1.0,['python'],
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-02-22 16:51:36,2024-01-27 17:22:15,2534,20.0,2160,364,3614,203,3629,13446,2023-11-01 13:36:46,1.8.0,79342.0,1117.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,304,33,True,3,,,
