,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-07-27 17:43:43,2023-07-27 12:17:16,20544,991.0,12122,760,21921,706,6941,31100,2023-07-10 23:02:37,2.6.3,510013.0,5368.0,68,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7520.0,7520.0,2913,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-07-27 18:00:07,2023-07-27 18:00:07,4511,212.0,2811,199,5256,858,4388,13201,2023-07-20 15:28:41,3.4.9,2391466.0,95658.0,100,Workflow engine for Kubernetes.,202.0,202.0,776,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-07-27 17:45:44,2023-07-27 17:44:34,8888,223.0,1056,137,5068,553,3828,11797,2023-07-27 17:45:45,3.9.0,72051.0,4803.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,8633.0,8633.0,283,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-07-27 14:26:12,2023-07-27 01:14:04,4413,449.0,3349,290,5984,989,2020,14862,2023-07-17 08:47:14,2.5.0,,,72,Open source platform for the machine learning lifecycle.,21674.0,21674.0,603,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-07-27 13:45:08,2023-07-26 21:10:24,5461,424.0,1329,128,2180,383,2085,20260,2023-07-26 21:14:51,3.39.0,,,100,Create UIs for your machine learning model in Python in 3 minutes.,10559.0,10559.0,181,35,True,1,['python'],,
5,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-07-27 17:39:02,2023-07-26 22:08:39,5640,161.0,2267,296,3524,646,2814,26220,2023-07-20 22:07:55,1.25.0,,,62,Streamlit A faster way to build and share data apps.,895.0,895.0,190,34,True,2,['python'],,
6,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-07-25 15:55:11,2023-07-25 15:55:07,6953,159.0,1831,414,971,716,823,19047,2023-06-29 20:21:49,2.11.1,,,59,Data Apps & Dashboards for Python. No JavaScript Required.,49503.0,49503.0,139,34,True,2,['python'],,
7,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-07-26 07:01:09,2023-07-24 17:41:28,2468,23.0,2090,364,3461,319,3407,12790,2023-03-29 15:38:55,1.7.0,78917.0,1233.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,291,33,True,2,,,
8,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-07-26 07:01:09,2023-07-24 17:41:28,2468,23.0,2090,364,3461,319,3407,12790,2023-03-29 15:38:55,1.7.0,78917.0,1233.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,291,33,True,1,,,
9,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-07-27 17:57:28,2023-07-27 17:35:25,15122,832.0,976,97,9204,1531,4156,8009,2023-07-21 23:00:40,1.4.2,,,100,"An orchestration platform for the development, production, and observation of data assets.",1375.0,1375.0,326,33,True,2,,-1.0,
10,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-07-27 17:07:58,2023-07-27 10:48:55,1250,72.0,773,56,1507,309,1140,2324,2023-06-25 13:17:52,0.10.2,407255.0,8853.0,24,Standardized Serverless ML Inference Platform on Kubernetes.,187.0,187.0,208,33,True,1,"['tensorflow', 'pytorch', 'onnx']",,
11,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-07-27 17:52:16,2023-07-27 14:05:33,21900,183.0,550,162,6047,699,2387,5951,2023-07-26 20:06:37,2.6.7,20187.0,4037.0,100,Data-Centric Pipelines and Data Versioning.,,,182,31,True,3,,-1.0,
