,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-03-07 17:07:03,2024-03-07 14:55:06,23440,1073.0,13006,754,25232,738,7967,33782,2024-03-05 16:19:06,helm-chart/1.13.0,600593.0,5831.0,78,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9834.0,9834.0,3213,42,True,1,-1.0,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-03-07 15:46:35,2024-03-06 22:12:59,5106,189.0,2979,203,6047,935,4690,14095,2024-02-29 21:47:50,3.5.5,3808971.0,119030.0,100,Workflow Engine for Kubernetes.,259.0,259.0,850,38,True,2,-1.0,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-03-07 16:22:23,2024-03-07 12:39:53,9222,122.0,1116,136,5402,299,4293,12952,2024-03-07 16:22:23,3.48.3,42988.0,3582.0,100,ML Experiments Management with Git.,13289.0,13289.0,291,38,True,1,,,
3,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-03-07 18:03:04,2024-03-07 01:27:54,6146,171.0,2687,308,4187,734,3228,30590,2024-02-12 17:53:30,1.31.1,,,73,Streamlit A faster way to build and share data apps.,324099.0,324099.0,221,37,True,1,8.0,['python'],
4,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-03-07 17:20:25,2024-03-07 05:25:24,5538,414.0,3742,292,7656,1109,2365,16903,2024-03-06 08:35:11,2.11.1,,,85,Open source platform for the machine learning lifecycle.,31402.0,31402.0,707,37,True,1,,,
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-03-07 17:45:12,2024-03-06 20:52:01,6366,357.0,1929,149,3433,451,3369,27087,2024-03-06 17:19:54,@gradio/video@0.6.5,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",24346.0,24346.0,265,36,True,2,,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-03-07 18:02:57,2024-03-07 17:49:35,17481,829.0,1201,110,12120,2030,4629,9796,2024-03-01 20:53:55,1.6.8,,,100,"An orchestration platform for the development, production, and observation of data assets.",2041.0,2041.0,407,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-03-07 17:48:01,2024-03-06 19:20:29,7328,245.0,1927,417,1038,780,871,20225,2024-03-06 20:00:34,2.16.1,70.0,1.0,68,Data Apps & Dashboards for Python. No JavaScript Required.,59232.0,59232.0,147,34,True,3,2.0,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-03-07 18:04:33,2024-03-07 03:15:06,1413,94.0,879,58,1751,322,1314,2875,2024-02-25 17:17:59,0.12.0,1082526.0,20046.0,30,Standardized Serverless ML Inference Platform on Kubernetes.,335.0,335.0,232,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-03-05 14:46:37,2024-03-05 14:46:36,2538,20.0,2173,364,3621,210,3632,13496,2023-11-01 13:36:46,1.8.0,79365.0,1102.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,305,33,True,3,,,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-03-05 14:46:37,2024-03-05 14:46:36,2538,20.0,2173,364,3621,210,3632,13496,2023-11-01 13:36:46,1.8.0,79365.0,1102.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,305,33,True,1,,,
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2024-02-29 04:48:22,2024-01-23 10:42:08,4100,12.0,2304,476,2295,97,881,17177,2024-01-15 15:33:51,3.5.0,,,58,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2325.0,2325.0,614,32,True,3,,,
