,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-11-23 18:06:21,2023-11-23 17:59:59,22197,1126.0,12618,758,23792,766,7519,32482,2023-11-06 07:14:17,2.7.3,565991.0,5717.0,73,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8595.0,8595.0,3089,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-11-23 18:05:28,2023-11-23 17:38:13,4871,255.0,2914,206,5744,897,4567,13729,2023-11-03 21:07:31,3.4.13,3107985.0,110999.0,100,Workflow Engine for Kubernetes.,209.0,209.0,820,39,True,2,,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-11-23 17:35:59,2023-11-22 21:03:48,5048,486.0,3572,290,6988,1044,2260,15880,2023-11-16 02:55:35,2.8.1,,,77,Open source platform for the machine learning lifecycle.,26339.0,26339.0,670,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-11-23 17:17:26,2023-11-23 14:10:23,9071,125.0,1093,136,5251,575,3940,12426,2023-11-17 18:02:37,3.30.1,44336.0,3410.0,100,ML Experiments Management with Git.,10648.0,10648.0,289,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-11-23 08:41:59,2023-11-23 08:41:57,5962,381.0,1640,145,2963,413,2805,23672,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",17488.0,17488.0,225,36,True,1,['python'],1.0,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-11-23 13:36:35,2023-11-22 22:40:17,16497,1015.0,1092,103,10898,1832,4436,8989,2023-11-16 22:51:01,1.5.9,,,100,"An orchestration platform for the development, production, and observation of data assets.",1700.0,1700.0,367,35,True,2,,,
6,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-11-22 13:52:54,2023-10-26 19:38:28,7069,67.0,1886,412,1004,759,839,19674,2023-10-26 20:29:58,2.14.1,,,64,Data Apps & Dashboards for Python. No JavaScript Required.,54600.0,54600.0,142,34,True,2,['python'],,
7,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-11-23 16:35:30,2023-11-18 22:42:14,1311,46.0,816,59,1615,320,1222,2600,2023-11-15 14:13:33,0.11.2,717852.0,14357.0,27,Standardized Serverless ML Inference Platform on Kubernetes.,264.0,264.0,222,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-11-12 13:19:24,2023-11-01 05:29:57,2514,34.0,2130,360,3580,183,3617,13167,2023-11-01 13:36:46,1.8.0,79165.0,1164.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,301,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-11-12 13:19:24,2023-11-01 05:29:57,2514,34.0,2130,360,3580,183,3617,13167,2023-11-01 13:36:46,1.8.0,79165.0,1164.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,301,33,True,1,,,
10,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-11-23 07:53:38,2023-11-22 18:24:05,22165,202.0,556,163,6465,700,2387,6003,2023-11-03 21:10:52,2.5.9,28566.0,4761.0,100,Data-Centric Pipelines and Data Versioning.,,,188,32,True,3,,,
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-11-16 12:40:29,2023-10-25 23:50:29,4088,7.0,2285,479,2282,95,879,16913,2023-10-05 11:21:35,3.4.0,,,57,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2248.0,2248.0,607,31,True,3,,-1.0,
12,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-11-23 14:02:46,2023-11-23 14:02:44,8086,284.0,2116,240,741,45,1397,5983,2023-11-21 22:22:47,2.14.1,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,222,31,True,2,['tensorflow'],,
13,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-11-23 15:20:02,2023-11-22 06:34:29,2700,94.0,654,74,3126,159,786,5916,2023-11-20 04:07:45,1.1.10,2122.0,38.0,95,Build Production-Grade AI Applications.,1381.0,1381.0,187,31,True,2,"['tensorflow', 'pytorch', 'onnx']",,
14,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2023-11-23 07:49:41,2023-11-22 23:33:36,3596,120.0,765,57,1342,301,1160,3758,2023-10-13 00:21:43,0.9.0,5365.0,124.0,20,"Serve, optimize and scale PyTorch models in production.",548.0,548.0,181,31,True,2,['pytorch'],,
15,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-11-23 09:27:37,2023-11-23 02:42:43,5945,246.0,2473,305,3917,673,3056,28625,2023-11-13 20:42:41,1.28.2,,,69,Streamlit A faster way to build and share data apps.,,,206,30,True,3,['python'],-5.0,
16,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2023-11-23 04:02:35,2023-11-22 23:10:29,3223,101.0,1264,134,3341,289,2880,6412,2023-10-27 15:48:15,2.39.0,204925.0,3415.0,60,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,109,29,True,3,"['tensorflow', 'pytorch']",,
