,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-10-05 17:17:27,2023-10-05 17:12:53,21621,1300.0,12424,763,23142,723,7328,31948,2023-10-02 23:29:57,helm-chart/1.11.0,544916.0,5560.0,71,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8109.0,8109.0,3012,42,True,1,-1.0,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-10-05 09:12:09,2023-10-04 23:19:40,4740,303.0,2874,203,5576,851,4520,13507,2023-09-08 01:14:16,3.4.11,2819307.0,100689.0,100,Workflow Engine for Kubernetes.,197.0,197.0,811,39,True,2,1.0,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-10-05 17:55:58,2023-10-05 16:52:12,4726,419.0,3484,292,6460,1037,2150,15475,2023-09-17 21:48:08,2.7.1,,,75,Open source platform for the machine learning lifecycle.,24416.0,24416.0,645,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-10-05 17:40:14,2023-10-05 17:39:06,9016,157.0,1067,135,5186,564,3915,12041,2023-10-04 23:25:54,3.24.0,39356.0,3027.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,9673.0,9673.0,288,37,True,1,-1.0,,
4,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-10-05 17:56:04,2023-10-04 22:47:41,5833,247.0,2393,304,3790,643,2975,27676,2023-10-03 23:30:45,1.27.2,,,66,Streamlit A faster way to build and share data apps.,999.0,999.0,199,35,True,1,1.0,['python'],
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-10-05 15:14:37,2023-10-05 15:09:47,5731,350.0,1514,136,2562,397,2467,22359,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",14477.0,14477.0,207,35,True,1,,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-10-05 17:46:33,2023-10-05 16:18:26,16006,1081.0,1044,102,10302,1676,4308,8580,2023-10-04 22:28:18,1.5.1,,,100,"An orchestration platform for the development, production, and observation of data assets.",1542.0,1542.0,347,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-10-05 17:43:45,2023-09-28 15:16:31,7024,112.0,1866,413,991,737,830,19438,2023-08-28 15:33:00,2.13.0,,,62,Data Apps & Dashboards for Python. No JavaScript Required.,52252.0,52252.0,140,34,True,3,,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-10-05 11:52:06,2023-10-05 06:03:53,1281,40.0,800,56,1554,327,1178,2508,2023-09-22 22:53:56,0.11.1,569953.0,11631.0,26,Standardized Serverless ML Inference Platform on Kubernetes.,235.0,235.0,212,33,True,1,-1.0,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-10-04 22:20:17,2023-10-04 22:17:15,2488,29.0,2115,365,3513,202,3569,13023,2023-03-29 15:38:55,1.7.0,79089.0,1180.0,83,Machine Learning Toolkit for Kubernetes.,41.0,41.0,299,32,True,3,-1.0,,
