,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-12-21 18:00:36,2023-12-21 17:30:59,22490,979.0,12719,754,24149,752,7629,32797,2023-12-18 19:16:17,2.8.0,576396.0,5763.0,74,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8880.0,8880.0,3115,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-12-21 16:40:27,2023-12-21 15:22:04,4956,247.0,2926,203,5833,917,4590,13830,2023-11-27 19:16:42,3.5.2,3280541.0,113122.0,100,Workflow Engine for Kubernetes.,219.0,219.0,826,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-12-21 05:23:06,2023-12-20 23:05:08,9120,128.0,1102,137,5304,514,4026,12674,2023-12-20 23:17:12,3.35.0,47921.0,3993.0,100,ML Experiments Management with Git.,11311.0,11311.0,289,38,True,1,1.0,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-12-21 17:05:51,2023-12-21 10:42:15,5170,504.0,3607,291,7187,1053,2286,16103,2023-12-14 15:34:34,2.9.2,,,80,Open source platform for the machine learning lifecycle.,27669.0,27669.0,683,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-12-21 17:33:42,2023-12-21 02:16:21,6059,379.0,1708,143,3079,421,2982,24981,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",19378.0,19378.0,237,36,True,1,1.0,['python'],
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-12-21 17:20:03,2023-12-21 17:04:57,16728,906.0,1115,105,11185,1891,4495,9216,2023-12-14 19:19:44,1.5.13,,,100,"An orchestration platform for the development, production, and observation of data assets.",1785.0,1785.0,375,36,True,2,1.0,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-12-21 15:01:05,2023-12-21 02:01:31,1328,54.0,825,61,1651,324,1241,2654,2023-11-15 14:13:33,0.11.2,802066.0,15726.0,27,Standardized Serverless ML Inference Platform on Kubernetes.,294.0,294.0,223,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-12-16 18:16:41,2023-12-16 18:16:41,7091,70.0,1903,413,1006,766,848,19828,2023-11-28 00:56:54,2.14.2,22.0,0.0,65,Data Apps & Dashboards for Python. No JavaScript Required.,56009.0,56009.0,143,33,True,2,-1.0,['python'],
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-19 06:39:58,2023-12-19 06:37:38,2519,33.0,2138,362,3590,188,3619,13250,2023-11-01 13:36:46,1.8.0,79254.0,1148.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-19 06:39:58,2023-12-19 06:37:38,2519,33.0,2138,362,3590,188,3619,13250,2023-11-01 13:36:46,1.8.0,79254.0,1148.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,1,,,
