,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-09-28 17:19:14,2023-09-28 17:19:14,21577,1348.0,12389,772,23078,710,7314,31852,2023-09-07 18:08:24,2.7.1,541621.0,5583.0,70,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8063.0,8063.0,3000,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-09-28 17:18:17,2023-09-28 16:04:09,4725,315.0,2869,203,5540,855,4504,13481,2023-09-08 01:14:16,3.4.11,2772710.0,102692.0,100,Workflow Engine for Kubernetes.,195.0,195.0,809,39,True,2,1.0,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-09-28 17:37:14,2023-09-28 16:49:19,4685,428.0,3469,293,6396,1064,2107,15379,2023-09-17 21:48:08,2.7.1,,,75,Open source platform for the machine learning lifecycle.,24160.0,24160.0,637,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-09-28 16:52:01,2023-09-26 20:29:33,9005,173.0,1066,136,5177,567,3907,12017,2023-09-26 18:29:27,3.23.0,38793.0,3232.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,9536.0,9536.0,288,37,True,1,-1.0,,
4,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-09-28 17:40:04,2023-09-28 17:05:03,5810,228.0,2379,305,3748,643,2954,27346,2023-09-21 19:46:20,1.27.0,,,64,Streamlit A faster way to build and share data apps.,993.0,993.0,197,35,True,1,1.0,['python'],
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-09-28 17:59:52,2023-09-28 17:59:31,5707,376.0,1491,136,2527,399,2429,22219,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",14113.0,14113.0,206,35,True,1,,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-09-28 17:54:01,2023-09-28 17:46:53,15912,1047.0,1042,102,10182,1663,4292,8545,2023-09-28 16:08:58,1.4.17,,,100,"An orchestration platform for the development, production, and observation of data assets.",1524.0,1524.0,347,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-09-28 15:16:36,2023-09-28 15:16:31,7024,115.0,1863,413,989,734,830,19404,2023-08-28 15:33:00,2.13.0,,,62,Data Apps & Dashboards for Python. No JavaScript Required.,51981.0,51981.0,140,34,True,3,,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-09-27 22:55:34,2023-09-24 15:25:30,1275,44.0,793,55,1545,329,1173,2500,2023-09-22 22:53:56,0.11.1,553152.0,11524.0,26,Standardized Serverless ML Inference Platform on Kubernetes.,229.0,229.0,211,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-09-27 05:46:00,2023-09-21 18:20:38,2486,27.0,2112,364,3498,201,3565,13008,2023-03-29 15:38:55,1.7.0,79083.0,1198.0,83,Machine Learning Toolkit for Kubernetes.,41.0,41.0,298,32,True,3,-1.0,,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-09-27 05:46:00,2023-09-21 18:20:38,2486,27.0,2112,364,3498,201,3565,13008,2023-03-29 15:38:55,1.7.0,79083.0,1198.0,83,Machine Learning Toolkit for Kubernetes.,41.0,41.0,298,32,True,1,-1.0,,
11,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-09-28 17:19:31,2023-09-28 16:17:26,22053,215.0,551,163,6286,700,2387,5977,2023-09-20 15:04:57,2.7.3,23605.0,4721.0,100,Data-Centric Pipelines and Data Versioning.,,,185,32,True,3,,,
12,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-09-26 07:20:11,2023-09-25 12:04:01,4085,7.0,2286,480,2276,93,878,16819,2023-05-04 09:55:49,3.3.0,,,56,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2212.0,2212.0,604,31,True,3,,,
13,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-09-28 02:20:00,2023-09-27 09:30:32,2647,127.0,632,71,3066,164,763,5701,2023-09-08 05:23:14,1.1.6,2110.0,39.0,91,Build Production-Grade AI Applications.,1290.0,1290.0,178,31,True,2,,"['tensorflow', 'pytorch', 'onnx']",
14,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-09-28 13:04:58,2023-09-28 13:04:55,7859,158.0,2112,242,736,44,1394,5950,2023-07-24 04:28:54,2.13.0,,,100,"A flexible, high-performance serving system for machine learning models.",16.0,16.0,220,30,True,2,,['tensorflow'],
15,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2023-09-28 17:47:19,2023-09-27 17:29:51,3507,66.0,753,57,1223,302,1093,3663,2023-08-28 23:20:20,0.8.2,4907.0,119.0,19,"Serve, optimize and scale PyTorch models in production.",509.0,509.0,174,30,True,2,,['pytorch'],
16,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2023-09-28 02:51:26,2023-09-26 16:49:58,3147,76.0,1233,129,3206,257,2794,6109,2023-09-27 21:40:36,2.38.0,201943.0,3481.0,59,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,106,29,True,3,,"['tensorflow', 'pytorch']",
17,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2023-09-25 21:43:22,2023-09-25 21:33:44,2204,63.0,595,89,230,379,501,4746,2023-09-25 21:43:22,1.13.1,1493.0,29.0,89,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",726.0,726.0,84,29,True,3,,,
18,Seldon,model-serving,SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,Apache-2.0,2017-12-20 14:51:54,2023-09-27 12:39:02,2023-09-06 10:34:39,7303,22.0,769,84,2877,81,2174,3918,2023-08-17 09:13:00,1.17.1,650.0,9.0,62,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models.",510.0,510.0,199,29,True,3,,"['tensorflow', 'pytorch', 'onnx']",
19,voila,data-visualization,voila-dashboards/voila,https://github.com/voila-dashboards/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42,2023-09-21 21:27:07,2023-09-21 21:27:00,1422,36.0,468,76,706,269,417,4935,2023-09-18 07:11:18,0.5.4,927.0,38.0,43,Voil turns Jupyter notebooks into standalone web applications.,10217.0,10217.0,65,28,False,3,,,
20,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/HumanSignal/labelImg,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2023-05-31 00:41:28,2022-09-22 22:12:32,449,,5766,392,242,395,362,20664,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,986.0,986.0,109,27,True,1,,,HumanSignal/labelImg
21,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2023-09-28 16:44:12,2023-09-27 22:00:15,757,27.0,617,272,996,242,311,6993,2023-09-18 15:23:41,2.9.14,,,94,Build and manage real-life data science projects with ease!.,532.0,532.0,72,27,True,3,,,
22,TFX,model-training,tensorflow/tfx,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36,2023-09-28 07:44:39,2023-09-27 22:36:10,5333,193.0,656,91,5450,37,831,2005,2023-09-06 18:31:57,1.14.0,,,91,TFX is an end-to-end platform for deploying production ML pipelines.,,,178,26,True,1,1.0,['tensorflow'],
23,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-06-19 05:07:43,2023-06-19 05:07:42,1342,,360,71,364,95,460,4086,2023-01-25 17:03:54,0.8.4,,,12,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2590.0,2590.0,105,25,True,3,,,
