,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-03-14 17:57:03,2024-03-14 17:22:05,23530,1110.0,13032,757,25353,745,7994,33864,2024-03-11 12:53:41,2.8.3,602784.0,5852.0,79,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9926.0,9926.0,3218,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-03-14 17:53:21,2024-03-13 05:37:29,5112,173.0,2982,203,6066,944,4698,14122,2024-02-29 21:47:50,3.5.5,3870355.0,120948.0,100,Workflow Engine for Kubernetes.,259.0,259.0,851,38,True,2,-1.0,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-03-14 09:35:17,2024-03-14 09:35:17,9232,119.0,1117,134,5407,300,4296,12982,2024-03-11 15:03:08,3.48.4,42968.0,3580.0,100,ML Experiments Management with Git.,13525.0,13525.0,291,38,True,1,,,
3,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-03-14 17:39:51,2024-03-14 02:10:09,6167,187.0,2699,309,4212,737,3245,30727,2024-03-14 15:16:16,1.32.2,,,76,Streamlit A faster way to build and share data apps.,329305.0,329305.0,222,37,True,1,8.0,['python'],
4,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-03-14 17:57:27,2024-03-14 08:45:48,5571,419.0,3751,292,7699,1122,2371,16945,2024-03-06 08:35:11,2.11.1,,,85,Open source platform for the machine learning lifecycle.,31840.0,31840.0,707,37,True,1,,,
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-03-14 17:51:33,2024-03-14 17:42:55,6382,341.0,1985,151,3456,453,3411,27532,2024-03-09 00:41:17,@gradio/wasm@0.8.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",24903.0,24903.0,265,36,True,2,,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-03-14 17:59:21,2024-03-14 17:58:59,17564,862.0,1204,110,12227,2055,4637,9853,2024-03-08 00:55:06,1.6.9,,,100,"An orchestration platform for the development, production, and observation of data assets.",2071.0,2071.0,408,36,True,2,1.0,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-03-14 10:16:58,2024-03-08 14:23:14,7344,256.0,1933,418,1041,776,881,20268,2024-03-06 20:00:34,2.16.1,70.0,1.0,68,Data Apps & Dashboards for Python. No JavaScript Required.,59610.0,59610.0,148,34,True,3,2.0,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-03-13 14:46:09,2024-03-13 00:56:12,1418,94.0,883,59,1760,326,1320,2906,2024-02-25 17:17:59,0.12.0,1106743.0,20495.0,30,Standardized Serverless ML Inference Platform on Kubernetes.,345.0,345.0,232,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-03-14 15:30:01,2024-03-14 15:30:00,2540,22.0,2180,364,3632,213,3634,13516,2023-11-01 13:36:46,1.8.0,79382.0,1102.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,307,33,True,3,,,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-03-14 15:30:01,2024-03-14 15:30:00,2540,22.0,2180,364,3632,213,3634,13516,2023-11-01 13:36:46,1.8.0,79382.0,1102.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,307,33,True,1,,,
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2024-03-13 12:09:03,2024-01-23 10:42:08,4100,12.0,2305,476,2297,97,881,17194,2024-01-15 15:33:51,3.5.0,,,58,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2336.0,2336.0,614,32,True,3,,,
12,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2024-03-14 15:59:24,2024-03-14 02:56:01,2987,280.0,715,71,3341,194,798,6390,2024-03-14 07:22:06,1.2.7,1823.0,34.0,100,Build Production-Grade AI Applications.,1643.0,1643.0,194,32,True,2,1.0,"['tensorflow', 'pytorch', 'onnx']",
13,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2024-03-14 13:02:56,2024-03-14 13:02:53,8376,227.0,2119,239,747,49,1400,6066,2023-11-21 22:22:47,2.14.1,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,228,32,True,2,,['tensorflow'],
14,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2024-03-14 17:18:32,2024-03-14 17:18:29,22345,154.0,559,164,6740,702,2388,6062,2024-03-13 19:37:17,2.7.7,27037.0,3004.0,100,Data-Centric Pipelines and Data Versioning.,,,194,31,True,3,,,
