,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-08-31 17:47:12,2023-08-31 16:20:06,21199,1285.0,12233,758,22642,692,7170,31512,2023-08-18 16:40:16,2.7.0,527945.0,5499.0,69,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7837.0,7837.0,2967,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-08-31 17:47:30,2023-08-31 00:48:43,4640,267.0,2844,201,5423,865,4451,13352,2023-08-15 18:59:38,3.4.10,2620898.0,100803.0,100,Workflow engine for Kubernetes.,187.0,187.0,799,38,True,2,-1.0,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-08-30 23:52:19,2023-08-30 00:15:21,8952,204.0,1062,135,5133,558,3876,11917,2023-08-29 14:50:12,3.17.0,39122.0,3260.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,9179.0,9179.0,285,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-08-31 17:59:04,2023-08-31 14:43:12,4578,482.0,3426,293,6208,1020,2086,15127,2023-08-15 07:11:16,2.6.0,,,73,Open source platform for the machine learning lifecycle.,23212.0,23212.0,631,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-08-31 15:38:24,2023-08-30 19:19:13,5593,423.0,1426,132,2343,392,2277,21447,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, in Python Star to support our work!.",12440.0,12440.0,196,35,True,1,,['python'],
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-08-31 18:01:52,2023-08-31 18:01:50,15552,932.0,1010,100,9706,1606,4238,8310,2023-08-25 19:01:02,1.4.10,,,100,"An orchestration platform for the development, production, and observation of data assets.",1452.0,1452.0,338,35,True,2,2.0,,
6,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-08-31 17:59:39,2023-08-30 20:30:12,5708,164.0,2324,298,3624,655,2882,26870,2023-08-24 21:21:14,1.26.0,,,63,Streamlit A faster way to build and share data apps.,948.0,948.0,195,34,True,2,,['python'],
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-08-31 14:47:38,2023-08-29 16:49:04,7007,147.0,1849,414,987,724,830,19274,2023-08-28 15:33:00,2.13.0,,,62,Data Apps & Dashboards for Python. No JavaScript Required.,50842.0,50842.0,140,34,True,2,,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-08-31 15:01:57,2023-08-30 05:20:56,1266,56.0,782,57,1526,316,1157,2381,2023-08-07 01:19:59,0.11.0,488717.0,10398.0,25,Standardized Serverless ML Inference Platform on Kubernetes.,201.0,201.0,211,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-08-31 07:55:20,2023-08-25 21:07:33,2480,30.0,2099,363,3477,181,3565,12915,2023-03-29 15:38:55,1.7.0,79045.0,1216.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,295,33,True,3,,,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-08-31 07:55:20,2023-08-25 21:07:33,2480,30.0,2099,363,3477,181,3565,12915,2023-03-29 15:38:55,1.7.0,79045.0,1216.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,295,33,True,1,,,
11,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-08-31 17:59:09,2023-08-31 17:39:03,21986,206.0,551,162,6193,700,2387,5971,2023-08-30 20:41:32,2.7.2,19486.0,4871.0,100,Data-Centric Pipelines and Data Versioning.,,,184,32,True,3,1.0,,
12,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-08-29 23:14:36,2023-08-20 18:09:42,4081,3.0,2282,481,2274,92,878,16757,2023-05-04 09:55:49,3.3.0,,,56,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2194.0,2194.0,600,31,True,3,,,
13,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-08-31 01:01:37,2023-08-30 13:21:40,2614,150.0,612,69,3025,159,760,5558,2023-08-30 01:17:17,1.1.4,2109.0,40.0,89,Build Production-Grade AI Applications.,1240.0,1240.0,172,31,True,2,,"['tensorflow', 'pytorch', 'onnx']",
14,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-08-27 01:03:37,2023-08-27 01:03:33,7803,150.0,2107,243,732,46,1389,5933,2023-07-24 04:28:54,2.13.0,,,100,"A flexible, high-performance serving system for machine learning models.",12.0,12.0,218,30,True,2,2.0,['tensorflow'],
15,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2023-08-31 17:42:22,2023-08-31 02:49:22,3488,71.0,748,57,1190,285,1079,3622,2023-08-28 23:20:20,0.8.2,4885.0,122.0,19,"Serve, optimize and scale PyTorch models in production.",496.0,496.0,173,30,True,2,4.0,['pytorch'],
16,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2023-08-31 04:48:54,2023-08-30 17:55:51,3126,90.0,1216,126,3161,242,2749,5959,2023-08-30 18:06:53,2.37.0,199941.0,3507.0,58,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,106,29,True,3,,"['tensorflow', 'pytorch']",
17,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2023-08-30 21:16:09,2023-08-30 21:10:38,2187,67.0,585,88,229,370,498,4676,2023-08-11 22:49:06,1.12.2,1485.0,29.0,87,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",694.0,694.0,84,29,True,3,,,
