,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-08-17 17:55:07,2023-08-17 16:57:34,20907,1129.0,12184,760,22318,711,7060,31342,2023-07-10 23:02:37,2.6.3,520924.0,5426.0,68,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7715.0,7715.0,2948,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-08-17 17:07:21,2023-08-17 04:32:16,4578,235.0,2837,202,5347,868,4417,13284,2023-08-15 18:59:38,3.4.10,2529386.0,97284.0,100,Workflow engine for Kubernetes.,206.0,206.0,787,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-08-17 17:33:30,2023-08-17 16:37:04,8925,204.0,1058,137,5110,553,3863,11868,2023-08-16 03:19:42,3.15.3,36697.0,3058.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,9006.0,9006.0,285,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-08-17 17:23:39,2023-08-17 16:31:14,4521,500.0,3398,292,6120,994,2071,15025,2023-08-15 07:11:16,2.6.0,,,73,Open source platform for the machine learning lifecycle.,22752.0,22752.0,620,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-08-17 18:00:54,2023-08-16 18:27:39,5536,402.0,1397,131,2274,389,2210,21026,2023-08-11 02:25:03,3.40.1,,,100,"Build and share delightful machine learning apps, in Python Star to support our work!.",11679.0,11679.0,192,35,True,1,['python'],,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-08-17 17:53:19,2023-08-17 17:53:17,15345,855.0,1000,100,9460,1568,4203,8170,2023-08-10 22:05:27,1.4.5,,,100,"An orchestration platform for the development, production, and observation of data assets.",1415.0,1415.0,333,35,True,2,,2.0,
6,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-08-17 17:56:47,2023-08-16 23:32:35,5676,161.0,2304,300,3581,657,2852,26567,2023-07-20 22:07:55,1.25.0,,,62,Streamlit A faster way to build and share data apps.,931.0,931.0,192,34,True,2,['python'],,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-08-16 18:05:26,2023-08-16 15:59:07,6974,158.0,1840,415,982,722,828,19157,2023-08-16 18:05:53,2.12.1,,,61,Data Apps & Dashboards for Python. No JavaScript Required.,50287.0,50287.0,140,34,True,2,['python'],,
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-08-17 14:19:13,2023-08-15 02:19:21,1260,59.0,782,57,1521,314,1149,2362,2023-08-07 01:19:59,0.11.0,455707.0,9695.0,25,Standardized Serverless ML Inference Platform on Kubernetes.,196.0,196.0,210,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-08-17 12:40:26,2023-08-16 18:56:03,2478,30.0,2097,364,3468,324,3410,12862,2023-03-29 15:38:55,1.7.0,79020.0,1215.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,293,33,True,3,,,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-08-17 12:40:26,2023-08-16 18:56:03,2478,30.0,2097,364,3468,324,3410,12862,2023-03-29 15:38:55,1.7.0,79020.0,1215.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,293,33,True,1,,,
