,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-09-07 17:52:14,2023-09-07 17:50:01,21338,1338.0,12255,757,22783,688,7219,31586,2023-08-18 16:40:16,2.7.0,531336.0,5477.0,69,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7897.0,7897.0,2974,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-09-07 16:47:19,2023-09-07 12:01:58,4657,279.0,2849,201,5456,852,4476,13381,2023-08-15 18:59:38,3.4.10,2664868.0,98698.0,100,Workflow engine for Kubernetes.,187.0,187.0,802,38,True,2,,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-09-07 17:28:35,2023-09-07 15:36:46,4596,451.0,3436,293,6249,1031,2089,15169,2023-08-15 07:11:16,2.6.0,,,73,Open source platform for the machine learning lifecycle.,23440.0,23440.0,632,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-09-07 15:24:50,2023-09-07 09:55:50,8963,187.0,1065,136,5145,563,3886,11945,2023-09-07 13:04:11,3.19.0,37574.0,2890.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,9277.0,9277.0,287,37,True,1,-1.0,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-09-07 17:44:46,2023-09-07 17:22:55,5608,408.0,1446,134,2360,394,2303,21622,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",12832.0,12832.0,197,35,True,1,,['python'],
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-09-07 17:47:22,2023-09-07 16:51:09,15616,916.0,1017,100,9797,1621,4241,8375,2023-08-31 19:09:40,1.4.11,,,100,"An orchestration platform for the development, production, and observation of data assets.",1464.0,1464.0,338,35,True,2,,,
6,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-09-07 17:45:12,2023-09-06 22:15:18,5727,176.0,2334,298,3638,634,2912,26989,2023-08-24 21:21:14,1.26.0,,,63,Streamlit A faster way to build and share data apps.,969.0,969.0,196,34,True,2,,['python'],
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-09-07 14:07:36,2023-08-29 16:49:04,7007,145.0,1850,413,988,726,830,19300,2023-08-28 15:33:00,2.13.0,,,62,Data Apps & Dashboards for Python. No JavaScript Required.,51117.0,51117.0,140,34,True,2,,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-09-07 17:17:05,2023-09-02 14:36:14,1267,51.0,783,56,1529,318,1159,2401,2023-08-07 01:19:59,0.11.0,504682.0,10514.0,25,Standardized Serverless ML Inference Platform on Kubernetes.,204.0,204.0,211,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-09-07 14:51:47,2023-09-06 17:34:32,2481,31.0,2099,363,3485,185,3566,12941,2023-03-29 15:38:55,1.7.0,79052.0,1197.0,82,Machine Learning Toolkit for Kubernetes.,41.0,41.0,295,32,True,3,-1.0,,
