,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-03-21 17:46:17,2024-03-21 17:46:17,23679,1164.0,13056,757,25520,742,8037,33953,2024-03-11 12:53:41,2.8.3,605068.0,5874.0,79,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",10002.0,10002.0,3229,43,True,1,,,
1,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-03-21 17:59:03,2024-03-20 17:05:42,6179,191.0,2710,310,4240,750,3256,30899,2024-03-14 15:16:16,1.32.2,,,76,Streamlit A faster way to build and share data apps.,334519.0,334519.0,222,38,True,1,['python'],9.0,
2,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-03-21 17:50:04,2024-03-21 17:50:04,5119,163.0,2985,203,6075,950,4702,14150,2024-02-29 21:47:50,3.5.5,3926409.0,122700.0,100,Workflow Engine for Kubernetes.,262.0,262.0,852,38,True,2,,-1.0,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-03-20 20:28:02,2024-03-20 20:28:02,9236,109.0,1120,135,5413,300,4301,13007,2024-03-11 15:03:08,3.48.4,43140.0,3595.0,100,ML Experiments and Data Management with Git.,13725.0,13725.0,292,38,True,1,,,
4,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-03-21 17:56:46,2024-03-21 06:59:42,5599,428.0,3760,290,7749,1131,2377,16996,2024-03-20 02:14:25,2.11.2,,,86,Open source platform for the machine learning lifecycle.,32209.0,32209.0,710,37,True,1,,,
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-03-21 17:36:36,2024-03-21 15:34:56,6411,347.0,2007,152,3489,468,3443,27772,2024-03-19 20:56:33,@gradio/wasm@0.9.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",25503.0,25503.0,267,36,True,2,['python'],,
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-03-21 18:00:26,2024-03-21 18:00:25,17666,935.0,1215,111,12337,2029,4681,9911,2024-03-15 17:25:58,1.6.11,,,100,"An orchestration platform for the development, production, and observation of data assets.",2093.0,2093.0,413,36,True,2,,1.0,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-03-21 13:07:50,2024-03-21 13:07:45,7353,262.0,1933,418,1044,783,884,20320,2024-03-06 20:00:34,2.16.1,70.0,1.0,68,Data Apps & Dashboards for Python. No JavaScript Required.,59992.0,59992.0,148,34,True,3,['python'],2.0,
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-03-21 10:33:56,2024-03-19 06:47:54,1426,92.0,887,59,1770,330,1321,2938,2024-02-25 17:17:59,0.12.0,1131261.0,20949.0,30,Standardized Serverless ML Inference Platform on Kubernetes.,348.0,348.0,234,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-03-21 12:13:04,2024-03-14 15:30:00,2540,21.0,2186,364,3639,215,3634,13541,2023-11-01 13:36:46,1.8.0,79403.0,1102.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,308,33,True,3,,,
