,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-07-20 17:57:59,2023-07-20 17:33:28,20460,996.0,12094,759,21821,713,6897,31020,2023-07-10 23:02:37,2.6.3,506446.0,5331.0,68,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7453.0,7453.0,2907,43,True,1,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-07-20 17:10:58,2023-07-20 16:27:04,4484,204.0,2806,199,5230,851,4374,13172,2023-07-20 15:28:41,3.4.9,2240452.0,93352.0,100,Workflow engine for Kubernetes.,200.0,200.0,769,39,True,2,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-07-20 15:41:11,2023-07-20 15:41:10,8878,228.0,1054,136,5054,556,3816,11769,2023-07-19 18:03:43,3.6.0,77750.0,4573.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,8512.0,8512.0,283,38,True,1,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-07-20 15:47:58,2023-07-20 15:47:57,4386,448.0,3341,292,5954,981,2017,14821,2023-07-17 08:47:14,2.5.0,,,72,Open source platform for the machine learning lifecycle.,21392.0,21392.0,602,37,True,1,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-07-20 16:23:42,2023-07-20 11:44:52,5436,423.0,1309,127,2157,376,2075,19937,2023-07-17 18:56:57,3.37.0,,,100,Create UIs for your machine learning model in Python in 3 minutes.,10174.0,10174.0,178,35,True,1,['python'],
5,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-07-20 17:50:56,2023-07-19 23:29:23,5621,177.0,2259,296,3505,674,2769,26086,2023-07-07 18:45:22,1.24.1,,,61,Streamlit A faster way to build and share data apps.,882.0,882.0,190,34,True,2,['python'],1.0
6,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-07-20 17:13:51,2023-07-20 17:13:50,6948,170.0,1830,413,969,717,822,19022,2023-06-29 20:21:49,2.11.1,,,59,Data Apps & Dashboards for Python. No JavaScript Required.,49232.0,49232.0,139,34,True,2,['python'],
7,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-07-20 17:56:30,2023-07-20 17:44:21,15067,868.0,973,97,9138,1504,4145,7955,2023-07-14 19:42:29,1.3.14,,,100,"An orchestration platform for the development, production, and observation of data assets.",1366.0,1366.0,325,34,True,2,,
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-07-20 15:37:25,2023-07-20 15:37:24,2465,20.0,2088,365,3459,318,3406,12757,2023-03-29 15:38:55,1.7.0,78877.0,1232.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,291,33,True,3,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-07-20 15:37:25,2023-07-20 15:37:24,2465,20.0,2088,365,3459,318,3406,12757,2023-03-29 15:38:55,1.7.0,78877.0,1232.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,291,33,True,1,,
