,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending
10,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-07-20 07:18:37,2023-07-14 03:15:27,1245,75.0,772,55,1501,309,1133,2308,2023-06-25 13:17:52,0.10.2,390617.0,8491.0,24,Standardized Serverless ML Inference Platform on Kubernetes.,185.0,185.0,208,33,True,1,"['tensorflow', 'pytorch', 'onnx']",1.0
11,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-07-20 18:01:22,2023-07-20 17:18:11,21889,203.0,549,162,6028,699,2387,5954,2023-07-13 20:10:04,2.6.6,25525.0,4254.0,100,Data-Centric Pipelines and Data Versioning.,,,181,32,True,3,,
12,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-07-03 07:10:36,2023-05-04 09:47:52,4078,3.0,2282,482,2271,90,876,16660,2023-05-04 09:55:49,3.3.0,,,56,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2167.0,2167.0,600,31,True,3,,
13,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-07-20 17:51:58,2023-07-20 17:51:58,2557,172.0,593,65,2955,151,749,5308,2023-06-12 20:44:54,1.0.22,2074.0,40.0,85,Build Production-Grade AI Applications.,1113.0,1113.0,166,31,True,2,"['tensorflow', 'pytorch', 'onnx']",
14,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2023-07-20 08:01:39,2023-07-19 17:29:06,3087,102.0,1199,122,3111,250,2637,5708,2023-06-30 01:39:56,2.35.0,197713.0,3530.0,56,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,105,29,True,2,"['tensorflow', 'pytorch']",
15,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2023-07-19 19:55:08,2023-07-19 19:55:08,2162,82.0,575,84,223,367,477,4554,2023-06-22 08:56:16,1.11.1,1398.0,28.0,84,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",638.0,638.0,83,29,True,3,,
16,Seldon,model-serving,SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,Apache-2.0,2017-12-20 14:51:54,2023-07-20 17:16:52,2023-07-12 09:07:33,7291,27.0,755,83,2814,55,2165,3819,2023-07-13 09:37:01,1.17.0,461.0,6.0,60,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models.",494.0,494.0,198,29,True,2,"['tensorflow', 'pytorch', 'onnx']",
17,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,MIT,2015-09-17 01:33:59,2023-05-31 00:41:28,2022-09-22 22:12:32,449,,5702,386,242,384,360,20211,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,925.0,925.0,109,28,True,1,,
18,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2023-07-17 14:03:15,2023-07-17 14:00:47,741,76.0,607,266,948,227,308,6839,2023-07-17 14:03:16,2.9.11,,,91,Build and manage real-life data science projects with ease!.,495.0,495.0,72,28,True,3,,
19,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-07-20 06:52:12,2023-07-19 12:30:00,7729,150.0,2106,241,727,41,1382,5909,2023-07-18 18:40:28,2.12.2,,,100,"A flexible, high-performance serving system for machine learning models.",2.0,2.0,216,28,True,3,['tensorflow'],
20,voila,data-visualization,voila-dashboards/voila,https://github.com/voila-dashboards/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42,2023-07-17 07:43:47,2023-07-17 07:43:47,1390,11.0,464,76,680,277,388,4842,2023-06-26 10:19:09,0.4.1,763.0,34.0,33,Voil turns Jupyter notebooks into standalone web applications.,9979.0,9979.0,65,28,False,3,,1.0
21,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2023-07-20 12:01:29,2023-07-19 05:40:36,3447,66.0,744,53,1148,278,1051,3563,2023-06-14 23:54:09,0.8.1,4580.0,117.0,18,"Serve, optimize and scale PyTorch models in production.",,,162,26,True,3,['pytorch'],
22,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-06-19 05:07:43,2023-06-19 05:07:42,1342,2.0,359,71,364,94,459,4065,2023-01-25 17:03:54,0.8.4,,,12,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2481.0,2481.0,105,25,True,3,,-1.0
23,TFX,model-training,tensorflow/tfx,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36,2023-07-20 15:50:32,2023-07-20 11:36:06,5172,121.0,643,93,5213,40,811,1975,2023-05-03 18:43:05,1.13.0,,,89,TFX is an end-to-end platform for deploying production ML pipelines.,,,175,25,True,1,['tensorflow'],
