,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,updated_github_id,trending
10,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2024-01-23 14:23:07,2024-01-23 10:42:08,4100,12.0,2295,478,2293,95,881,17050,2024-01-15 15:33:51,3.5.0,,,58,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2292.0,2292.0,614,32,True,3,,,
11,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2024-01-25 14:02:35,2024-01-25 14:02:32,8217,230.0,2119,239,746,45,1397,6045,2023-11-21 22:22:47,2.14.1,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,223,32,True,2,['tensorflow'],,
12,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2024-01-25 11:41:38,2024-01-22 02:59:09,2718,47.0,691,70,3238,187,788,6192,2023-12-28 21:36:24,1.1.11,2091.0,36.0,100,Build Production-Grade AI Applications.,1481.0,1481.0,192,31,True,2,"['tensorflow', 'pytorch', 'onnx']",,
13,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2024-01-25 17:53:27,2024-01-24 22:54:13,22236,115.0,556,163,6583,701,2387,6035,2024-01-17 19:51:27,2.8.3,26544.0,3792.0,100,Data-Centric Pipelines and Data Versioning.,,,189,31,True,3,,,
14,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2024-01-25 02:02:15,2024-01-24 20:35:31,3647,78.0,775,57,1406,303,1191,3844,2023-10-13 00:21:43,0.9.0,5517.0,122.0,20,"Serve, optimize and scale PyTorch models in production.",594.0,594.0,183,31,True,2,['pytorch'],,
15,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2024-01-25 17:41:05,2024-01-25 17:41:05,2282,59.0,607,91,243,417,519,5009,2024-01-10 16:14:12,1.14.1,1951.0,35.0,92,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",910.0,910.0,88,30,True,3,,,
16,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-01-25 17:39:57,2024-01-25 01:39:55,6052,145.0,2623,304,4059,693,3160,29793,2024-01-11 18:50:58,1.30.0,,,71,Streamlit A faster way to build and share data apps.,,,217,29,True,3,['python'],,
17,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2024-01-25 16:23:41,2024-01-25 16:19:46,3267,85.0,1297,133,3420,340,2936,6780,2023-12-20 01:02:35,2.41.0,206715.0,3334.0,62,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,112,29,True,3,"['tensorflow', 'pytorch']",,
18,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/HumanSignal/labelImg,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2024-01-04 20:24:05,2022-09-22 22:12:32,449,,5853,395,244,399,364,21332,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,1121.0,1121.0,109,28,False,1,,HumanSignal/labelImg,
19,voila,data-visualization,voila-dashboards/voila,https://github.com/voila-dashboards/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42,2024-01-11 08:23:01,2024-01-11 08:22:54,1442,14.0,474,77,725,282,424,5068,2023-10-31 09:04:25,0.5.5,1029.0,36.0,44,Voil turns Jupyter notebooks into standalone web applications.,10715.0,10715.0,68,28,False,3,,,
20,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2024-01-25 17:13:25,2024-01-25 13:22:06,831,34.0,654,274,1101,238,353,7309,2024-01-18 05:23:20,2.11.0,,,100,"Build and manage real-life ML, AI, and data science projects with ease!.",581.0,581.0,78,27,True,3,,,
21,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-11-13 07:23:02,2023-11-13 07:19:19,1344,2.0,362,71,366,97,460,4129,2023-11-13 07:23:02,0.8.5,,,13,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2804.0,2804.0,105,26,True,3,,,
22,Seldon,model-serving,SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,,2017-12-20 14:51:54,2024-01-25 14:13:25,2024-01-24 15:49:00,7310,6.0,800,85,2944,95,2183,4078,2024-01-22 14:02:25,1.18.0,862.0,11.0,64,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models.",532.0,532.0,202,26,False,3,"['tensorflow', 'pytorch', 'onnx']",,-2.0
23,TFX,model-training,tensorflow/tfx,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36,2024-01-25 08:08:12,2024-01-25 06:45:28,5507,134.0,676,88,5707,34,848,2051,2023-09-06 18:31:57,1.14.0,,,91,TFX is an end-to-end platform for deploying production ML pipelines.,,,182,25,True,1,['tensorflow'],,
