,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,updated_github_id,trending
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-01-25 18:07:07,2024-01-25 18:07:06,22894,1059.0,12810,758,24588,737,7767,33220,2024-01-19 13:09:58,2.8.1,587008.0,5811.0,75,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9295.0,9295.0,3156,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-01-25 14:49:16,2024-01-24 14:55:46,5040,233.0,2946,205,5954,920,4631,13966,2024-01-14 06:19:09,3.5.4,3517847.0,117261.0,100,Workflow Engine for Kubernetes.,237.0,237.0,837,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-01-25 16:34:07,2024-01-25 16:34:06,9161,122.0,1113,137,5342,510,4057,12813,2024-01-24 09:28:16,3.42.0,44617.0,4056.0,100,ML Experiments Management with Git.,12234.0,12234.0,290,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-01-25 17:11:50,2024-01-25 17:02:42,5265,337.0,3650,292,7313,1078,2303,16343,2023-12-14 15:34:34,2.9.2,,,80,Open source platform for the machine learning lifecycle.,29271.0,29271.0,690,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-01-25 17:59:52,2024-01-25 17:56:54,6159,351.0,1776,145,3210,428,3139,25822,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",21568.0,21568.0,247,36,True,1,['python'],,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-01-25 15:28:00,2024-01-25 00:37:43,16987,735.0,1154,108,11490,1954,4539,9467,2024-01-18 20:46:32,1.6.1,,,100,"An orchestration platform for the development, production, and observation of data assets.",1886.0,1886.0,386,35,True,2,,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-01-25 17:58:12,2024-01-25 12:43:25,1366,72.0,843,61,1689,297,1295,2718,2023-11-15 14:13:33,0.11.2,918006.0,17653.0,28,Standardized Serverless ML Inference Platform on Kubernetes.,312.0,312.0,225,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
7,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-01-24 18:47:53,2024-01-24 18:47:53,2520,10.0,2148,364,3599,197,3624,13364,2023-11-01 13:36:46,1.8.0,79302.0,1132.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,3,,,
8,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-01-24 18:47:53,2024-01-24 18:47:53,2520,10.0,2148,364,3599,197,3624,13364,2023-11-01 13:36:46,1.8.0,79302.0,1132.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,1,,,
9,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-01-25 15:51:31,2024-01-09 17:54:08,7097,28.0,1912,416,1011,770,853,19976,2023-11-28 00:56:54,2.14.2,64.0,1.0,65,Data Apps & Dashboards for Python. No JavaScript Required.,57426.0,57426.0,143,32,True,2,['python'],,
