,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-08-03 17:29:13,2023-08-03 17:29:13,20655,1033.0,12136,761,22048,706,6979,31174,2023-07-10 23:02:37,2.6.3,513677.0,5350.0,68,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7588.0,7588.0,2919,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-08-03 15:19:06,2023-08-02 15:23:39,4530,220.0,2818,200,5285,872,4395,13229,2023-07-20 15:28:41,3.4.9,2434311.0,93627.0,100,Workflow engine for Kubernetes.,205.0,205.0,780,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-08-03 17:36:12,2023-08-03 09:19:19,8900,218.0,1058,137,5077,562,3832,11823,2023-08-03 09:20:40,3.11.0,46608.0,3585.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,8738.0,8738.0,283,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-08-03 10:44:57,2023-08-03 07:14:14,4429,454.0,3366,290,6006,995,2029,14916,2023-07-17 08:47:14,2.5.0,,,72,Open source platform for the machine learning lifecycle.,22085.0,22085.0,603,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-08-03 17:10:17,2023-08-03 17:07:13,5478,421.0,1366,130,2206,365,2131,20580,2023-07-26 21:14:51,3.39.0,,,100,Create UIs for your machine learning model in Python in 3 minutes.,10918.0,10918.0,185,35,True,1,['python'],,
5,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-08-03 11:46:19,2023-08-02 21:49:02,5652,155.0,2277,298,3535,652,2823,26336,2023-07-20 22:07:55,1.25.0,,,62,Streamlit A faster way to build and share data apps.,908.0,908.0,190,34,True,2,['python'],,
6,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-08-02 19:47:33,2023-07-25 15:55:07,6953,158.0,1832,414,973,719,825,19077,2023-06-29 20:21:49,2.11.1,,,59,Data Apps & Dashboards for Python. No JavaScript Required.,49758.0,49758.0,139,34,True,2,['python'],,
7,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-08-02 16:00:09,2023-08-02 00:32:04,1254,73.0,775,57,1509,310,1142,2339,2023-06-25 13:17:52,0.10.2,423353.0,9007.0,24,Standardized Serverless ML Inference Platform on Kubernetes.,191.0,191.0,208,34,True,1,"['tensorflow', 'pytorch', 'onnx']",1.0,
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-08-01 13:57:42,2023-08-01 08:19:09,2475,29.0,2091,364,3462,321,3409,12810,2023-03-29 15:38:55,1.7.0,78955.0,1214.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,293,33,True,2,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-08-01 13:57:42,2023-08-01 08:19:09,2475,29.0,2091,364,3462,321,3409,12810,2023-03-29 15:38:55,1.7.0,78955.0,1214.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,293,33,True,1,,,
