,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-11-16 17:35:02,2023-11-16 17:01:47,22108,1177.0,12592,757,23700,761,7497,32405,2023-11-06 07:14:17,2.7.3,563281.0,5689.0,73,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8540.0,8540.0,3074,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-11-16 08:16:25,2023-11-15 16:49:19,4847,263.0,2910,206,5721,891,4561,13700,2023-11-03 21:07:31,3.4.13,3055263.0,109116.0,100,Workflow Engine for Kubernetes.,208.0,208.0,820,39,True,2,,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-11-16 17:38:04,2023-11-16 10:59:49,5029,501.0,3561,291,6947,1037,2256,15824,2023-11-16 02:55:35,2.8.1,,,77,Open source platform for the machine learning lifecycle.,26066.0,26066.0,670,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-11-15 14:30:18,2023-11-15 14:28:17,9065,133.0,1086,136,5245,575,3937,12400,2023-11-15 14:29:41,3.30.0,42613.0,3277.0,100,ML Experiments Management with Git.,10533.0,10533.0,289,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-11-16 18:00:15,2023-11-16 14:45:48,5917,370.0,1624,140,2911,426,2738,23485,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",17008.0,17008.0,223,35,True,1,['python'],,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-11-16 18:00:17,2023-11-16 18:00:16,16446,1071.0,1091,103,10833,1804,4423,8951,2023-11-15 01:25:21,1.5.8,,,100,"An orchestration platform for the development, production, and observation of data assets.",1684.0,1684.0,364,35,True,2,,,
6,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-11-15 01:09:43,2023-10-26 19:38:28,7069,85.0,1887,412,1003,758,837,19635,2023-10-26 20:29:58,2.14.1,,,64,Data Apps & Dashboards for Python. No JavaScript Required.,54239.0,54239.0,142,34,True,2,['python'],,
7,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-11-15 19:45:57,2023-11-15 14:12:09,1308,47.0,814,59,1607,319,1216,2583,2023-11-15 14:13:33,0.11.2,697102.0,13942.0,27,Standardized Serverless ML Inference Platform on Kubernetes.,260.0,260.0,220,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-11-12 13:19:24,2023-11-01 05:29:57,2514,36.0,2130,362,3580,182,3616,13153,2023-11-01 13:36:46,1.8.0,79159.0,1164.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,301,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-11-12 13:19:24,2023-11-01 05:29:57,2514,36.0,2130,362,3580,182,3616,13153,2023-11-01 13:36:46,1.8.0,79159.0,1164.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,301,33,True,1,,,
10,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-11-16 16:57:39,2023-11-16 02:08:41,22162,222.0,554,163,6457,700,2387,6002,2023-11-03 21:10:52,2.5.9,27620.0,4603.0,100,Data-Centric Pipelines and Data Versioning.,,,188,32,True,3,,,
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-11-16 12:40:29,2023-10-25 23:50:29,4088,8.0,2284,479,2282,93,879,16904,2023-10-05 11:21:35,3.4.0,,,57,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2239.0,2239.0,607,31,True,3,,-1.0,
12,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-11-16 14:03:35,2023-11-16 14:03:32,8058,257.0,2116,240,740,45,1397,5980,2023-10-31 16:19:29,2.14.0,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,222,31,True,2,['tensorflow'],,
13,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-11-16 15:00:28,2023-11-15 05:40:14,2688,93.0,650,74,3112,160,782,5898,2023-11-09 17:48:58,1.1.9,2120.0,38.0,94,Build Production-Grade AI Applications.,1369.0,1369.0,184,31,True,2,"['tensorflow', 'pytorch', 'onnx']",,
