,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-11-30 17:15:27,2023-11-30 16:04:51,22279,1038.0,12639,759,23888,767,7556,32554,2023-11-06 07:14:17,2.7.3,568712.0,5744.0,73,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8672.0,8672.0,3093,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-11-30 13:54:34,2023-11-30 01:43:23,4896,254.0,2916,205,5784,900,4571,13754,2023-11-27 19:16:42,3.5.2,3115068.0,111252.0,100,Workflow Engine for Kubernetes.,209.0,209.0,822,39,True,2,,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-11-30 16:55:24,2023-11-30 12:54:15,5063,482.0,3578,292,7037,1046,2268,15932,2023-11-16 02:55:35,2.8.1,,,77,Open source platform for the machine learning lifecycle.,26668.0,26668.0,675,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-11-29 15:22:52,2023-11-29 06:20:46,9081,128.0,1096,137,5261,578,3942,12532,2023-11-28 20:21:15,3.30.3,45789.0,3815.0,100,ML Experiments Management with Git.,10817.0,10817.0,289,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-11-30 10:51:23,2023-11-30 08:33:10,5974,374.0,1651,144,2978,423,2827,24059,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",17919.0,17919.0,229,36,True,1,['python'],1.0,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-11-30 18:01:10,2023-11-30 17:54:24,16554,982.0,1096,104,10950,1847,4451,9046,2023-11-16 22:51:01,1.5.9,,,100,"An orchestration platform for the development, production, and observation of data assets.",1721.0,1721.0,368,35,True,2,,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-11-29 16:58:50,2023-11-25 19:04:21,1314,48.0,817,62,1621,320,1224,2606,2023-11-15 14:13:33,0.11.2,738101.0,14762.0,27,Standardized Serverless ML Inference Platform on Kubernetes.,272.0,272.0,223,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-11-28 00:54:36,2023-11-28 00:25:43,7074,63.0,1888,412,1006,760,841,19704,2023-11-28 00:56:54,2.14.2,6.0,0.0,65,Data Apps & Dashboards for Python. No JavaScript Required.,54964.0,54964.0,142,33,True,2,['python'],-1.0,
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-11-12 13:19:24,2023-11-01 05:29:57,2514,34.0,2133,360,3580,187,3617,13193,2023-11-01 13:36:46,1.8.0,79222.0,1165.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,301,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-11-12 13:19:24,2023-11-01 05:29:57,2514,34.0,2133,360,3580,187,3617,13193,2023-11-01 13:36:46,1.8.0,79222.0,1165.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,301,33,True,1,,,
