,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-01-04 17:49:35,2024-01-04 17:49:35,22648,1014.0,12750,755,24323,743,7677,32928,2023-12-18 19:16:17,2.8.0,580513.0,5747.0,74,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9050.0,9050.0,3123,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-01-04 17:27:38,2024-01-04 17:27:38,4986,246.0,2933,204,5878,924,4603,13871,2023-11-27 19:16:42,3.5.2,3357166.0,111905.0,100,Workflow Engine for Kubernetes.,223.0,223.0,829,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-01-04 16:18:33,2024-01-04 16:17:45,9142,125.0,1106,137,5326,513,4038,12731,2024-01-04 16:18:34,3.38.1,45274.0,3772.0,100,ML Experiments Management with Git.,11650.0,11650.0,290,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-01-04 17:59:50,2024-01-04 17:59:50,5191,453.0,3621,292,7223,1058,2291,16167,2023-12-14 15:34:34,2.9.2,,,80,Open source platform for the machine learning lifecycle.,28240.0,28240.0,685,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-01-04 17:39:32,2024-01-04 15:57:18,6085,342.0,1738,144,3114,425,3031,25322,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",20198.0,20198.0,241,36,True,1,['python'],,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-01-04 18:04:25,2024-01-04 18:03:01,16789,757.0,1120,108,11266,1908,4510,9295,2023-12-14 19:19:44,1.5.13,,,100,"An orchestration platform for the development, production, and observation of data assets.",1822.0,1822.0,376,35,True,2,,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-01-04 06:35:51,2024-01-01 01:56:53,1351,70.0,830,62,1663,313,1258,2673,2023-11-15 14:13:33,0.11.2,845770.0,16264.0,28,Standardized Serverless ML Inference Platform on Kubernetes.,301.0,301.0,224,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
7,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-28 20:25:57,2023-12-19 06:37:38,2519,31.0,2143,362,3591,195,3619,13292,2023-11-01 13:36:46,1.8.0,79271.0,1132.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,3,,,
8,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-28 20:25:57,2023-12-19 06:37:38,2519,31.0,2143,362,3591,195,3619,13292,2023-11-01 13:36:46,1.8.0,79271.0,1132.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,1,,,
9,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-01-01 00:28:18,2023-12-16 18:16:41,7091,41.0,1906,414,1006,768,849,19885,2023-11-28 00:56:54,2.14.2,44.0,0.0,65,Data Apps & Dashboards for Python. No JavaScript Required.,56504.0,56504.0,143,32,True,2,['python'],-1.0,
10,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2024-01-03 08:02:34,2024-01-03 08:02:31,8159,256.0,2117,240,745,45,1397,6027,2023-11-21 22:22:47,2.14.1,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,222,32,True,2,['tensorflow'],,
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2024-01-02 09:39:24,2023-12-17 16:24:46,4089,3.0,2291,478,2286,95,880,17001,2023-10-05 11:21:35,3.4.0,,,57,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2277.0,2277.0,609,31,True,3,,,
12,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2024-01-04 16:22:33,2024-01-03 08:35:01,2715,63.0,671,74,3181,179,787,6070,2023-12-28 21:36:24,1.1.11,2125.0,37.0,96,Build Production-Grade AI Applications.,1446.0,1446.0,191,31,True,2,"['tensorflow', 'pytorch', 'onnx']",,
13,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2024-01-04 17:59:55,2024-01-04 16:04:25,22197,130.0,556,165,6523,701,2387,6023,2023-12-13 20:13:34,2.8.2,23816.0,3402.0,100,Data-Centric Pipelines and Data Versioning.,,,188,31,True,3,,,
14,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2024-01-04 05:14:21,2024-01-04 04:26:25,3627,85.0,772,57,1395,306,1180,3802,2023-10-13 00:21:43,0.9.0,5458.0,121.0,20,"Serve, optimize and scale PyTorch models in production.",578.0,578.0,181,31,True,2,['pytorch'],,
15,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2024-01-04 17:06:18,2024-01-03 20:18:39,2263,57.0,605,91,242,412,515,4960,2023-11-08 21:09:23,1.13.2,1873.0,34.0,90,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",867.0,867.0,88,30,True,3,,,
16,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-01-04 17:57:48,2024-01-03 21:17:43,5995,142.0,2588,303,3991,688,3118,29364,2023-11-30 20:05:51,1.29.0,,,70,Streamlit A faster way to build and share data apps.,,,213,29,True,3,['python'],,
17,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2024-01-04 16:13:32,2024-01-04 02:02:43,3248,94.0,1282,133,3393,331,2909,6635,2023-12-20 01:02:35,2.41.0,205771.0,3318.0,62,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,111,29,True,3,"['tensorflow', 'pytorch']",,
18,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/HumanSignal/labelImg,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2023-12-07 01:59:46,2022-09-22 22:12:32,449,,5843,395,243,400,363,21226,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,1094.0,1094.0,109,28,False,1,,,HumanSignal/labelImg
19,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2024-01-04 08:34:53,2023-12-12 14:48:29,814,46.0,648,275,1073,243,342,7253,2023-12-04 21:08:28,2.10.8,,,100,Build and manage real-life data science projects with ease!.,573.0,573.0,76,28,True,3,,,
20,voila,data-visualization,voila-dashboards/voila,https://github.com/voila-dashboards/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42,2024-01-03 08:45:07,2024-01-03 08:45:07,1441,17.0,476,77,724,279,423,5037,2023-10-31 09:04:25,0.5.5,1026.0,36.0,44,Voil turns Jupyter notebooks into standalone web applications.,10667.0,10667.0,68,28,False,3,,,
21,Seldon,model-serving,SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,Apache-2.0,2017-12-20 14:51:54,2024-01-04 18:01:11,2023-10-09 08:31:40,7304,1.0,791,85,2899,91,2182,4053,2023-08-17 09:13:00,1.17.1,802.0,11.0,62,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models.",528.0,528.0,202,27,True,3,"['tensorflow', 'pytorch', 'onnx']",,
22,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-11-13 07:23:02,2023-11-13 07:19:19,1344,2.0,362,71,366,97,460,4125,2023-11-13 07:23:02,0.8.5,,,13,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2767.0,2767.0,105,26,True,3,,,
23,TFX,model-training,tensorflow/tfx,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36,2024-01-04 10:52:31,2024-01-04 10:04:28,5454,100.0,672,88,5655,34,847,2037,2023-09-06 18:31:57,1.14.0,,,91,TFX is an end-to-end platform for deploying production ML pipelines.,,,178,25,True,1,['tensorflow'],,
