,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-03-28 17:56:11,2024-03-28 14:39:36,23830,1244.0,13069,755,25696,736,8064,34096,2024-03-25 20:26:18,2.8.4,607295.0,5896.0,81,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",10073.0,10073.0,3239,43,True,1,,,
1,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-03-28 17:41:03,2024-03-27 22:39:46,6197,207.0,2719,310,4266,757,3261,31033,2024-03-14 15:16:16,1.32.2,,,76,Streamlit A faster way to build and share data apps.,340428.0,340428.0,224,38,True,1,['python'],9.0,
2,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-03-28 17:28:15,2024-03-28 03:43:39,5135,167.0,2996,203,6087,948,4713,14187,2024-02-29 21:47:50,3.5.5,3983045.0,124470.0,100,Workflow Engine for Kubernetes.,272.0,272.0,855,38,True,2,,-1.0,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-03-28 01:45:13,2024-03-28 01:45:12,9246,111.0,1120,137,5423,232,4370,13034,2024-03-26 08:38:48,3.49.0,42981.0,3581.0,100,ML Experiments and Data Management with Git.,13877.0,13877.0,292,38,True,1,,,
4,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-03-28 17:35:01,2024-03-28 13:04:33,5629,448.0,3767,290,7795,1137,2382,17057,2024-03-22 01:05:35,2.11.3,,,87,Open source platform for the machine learning lifecycle.,32577.0,32577.0,713,37,True,1,,,
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-03-28 17:44:37,2024-03-28 17:12:02,6444,372.0,2024,153,3532,473,3489,27955,2024-03-27 21:33:03,@gradio/video@0.6.9,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",26003.0,26003.0,268,36,True,2,['python'],,
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-03-28 18:00:26,2024-03-28 17:28:42,17787,1030.0,1223,111,12474,2033,4698,9984,2024-03-22 18:15:23,1.6.13,,,100,"An orchestration platform for the development, production, and observation of data assets.",2125.0,2125.0,417,36,True,2,,1.0,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-03-28 08:07:07,2024-03-21 13:07:45,7353,262.0,1938,418,1047,788,886,20354,2024-03-06 20:00:34,2.16.1,70.0,1.0,68,Data Apps & Dashboards for Python. No JavaScript Required.,60313.0,60313.0,148,34,True,3,['python'],2.0,
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-03-27 17:06:57,2024-03-24 17:08:17,1430,83.0,891,60,1777,334,1326,2961,2024-02-25 17:17:59,0.12.0,1155799.0,21403.0,30,Standardized Serverless ML Inference Platform on Kubernetes.,355.0,355.0,236,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-03-28 16:57:58,2024-03-14 15:30:00,2540,21.0,2193,364,3649,218,3635,13573,2023-11-01 13:36:46,1.8.0,79415.0,1102.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,308,33,True,3,,,
