,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-02-29 18:01:23,2024-02-29 17:46:08,23346,1042.0,12986,755,25114,731,7939,33691,2024-02-26 09:14:14,2.8.2,598341.0,5866.0,77,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9740.0,9740.0,3205,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-02-29 17:10:58,2024-02-29 08:46:10,5100,201.0,2976,203,6026,924,4683,14067,2024-01-14 06:19:09,3.5.4,3793697.0,122377.0,100,Workflow Engine for Kubernetes.,256.0,256.0,850,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-02-29 15:01:11,2024-02-28 13:43:29,9201,120.0,1116,135,5393,514,4075,12930,2024-02-27 14:27:27,3.48.0,43471.0,3951.0,100,ML Experiments Management with Git.,13132.0,13132.0,290,38,True,1,,,
3,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-02-29 16:47:11,2024-02-29 09:37:03,6136,169.0,2675,307,4172,732,3211,30452,2024-02-12 17:53:30,1.31.1,,,73,Streamlit A faster way to build and share data apps.,317680.0,317680.0,221,37,True,1,['python'],8.0,
4,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-02-29 14:34:51,2024-02-29 10:27:01,5489,416.0,3735,293,7598,1113,2349,16848,2024-02-09 12:58:56,2.10.2,,,83,Open source platform for the machine learning lifecycle.,31053.0,31053.0,702,37,True,1,,,
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-02-29 17:05:45,2024-02-28 22:56:29,6338,364.0,1871,147,3407,450,3332,26682,2024-02-22 21:36:04,@gradio/video@0.6.3,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",23830.0,23830.0,264,35,True,2,['python'],-1.0,
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-02-29 17:47:24,2024-02-29 17:47:23,17369,790.0,1199,110,11993,2025,4609,9738,2024-02-22 22:06:41,1.6.6,,,100,"An orchestration platform for the development, production, and observation of data assets.",2016.0,2016.0,403,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-02-29 16:33:47,2024-02-28 21:03:48,7291,208.0,1923,418,1029,780,863,20188,2024-01-31 18:19:00,2.15.0,70.0,1.0,66,Data Apps & Dashboards for Python. No JavaScript Required.,58893.0,58893.0,147,34,True,3,['python'],2.0,
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-02-29 14:22:07,2024-02-29 13:36:57,1405,91.0,874,59,1744,321,1312,2836,2024-02-25 17:17:59,0.12.0,1058475.0,19971.0,30,Standardized Serverless ML Inference Platform on Kubernetes.,334.0,334.0,228,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-02-29 15:44:05,2024-02-29 15:44:04,2535,21.0,2168,365,3618,210,3630,13471,2023-11-01 13:36:46,1.8.0,79357.0,1117.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,304,33,True,3,,,
