,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-12-14 17:03:08,2023-12-14 15:20:34,22418,971.0,12683,755,24055,762,7599,32715,2023-11-06 07:14:17,2.7.3,574254.0,5742.0,73,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8805.0,8805.0,3104,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-12-14 15:42:05,2023-12-14 05:32:00,4937,249.0,2916,204,5812,908,4587,13805,2023-11-27 19:16:42,3.5.2,3228900.0,111341.0,100,Workflow Engine for Kubernetes.,216.0,216.0,824,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-12-14 10:26:06,2023-12-14 04:04:54,9108,124.0,1101,136,5289,513,4020,12636,2023-12-13 11:46:21,3.33.4,47352.0,3946.0,100,ML Experiments Management with Git.,11157.0,11157.0,289,38,True,1,1.0,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-12-14 17:22:41,2023-12-14 16:16:21,5149,499.0,3606,291,7158,1051,2282,16045,2023-12-14 15:34:34,2.9.2,,,80,Open source platform for the machine learning lifecycle.,27331.0,27331.0,682,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-12-14 17:45:42,2023-12-13 22:48:39,6030,374.0,1698,144,3039,427,2939,24778,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",18884.0,18884.0,235,36,True,1,1.0,['python'],
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-12-14 17:57:54,2023-12-14 17:52:48,16692,952.0,1109,105,11128,1882,4483,9160,2023-12-11 22:39:43,1.5.12,,,100,"An orchestration platform for the development, production, and observation of data assets.",1760.0,1760.0,375,36,True,2,1.0,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-12-14 03:04:12,2023-12-11 07:19:24,1324,54.0,823,60,1636,321,1239,2639,2023-11-15 14:13:33,0.11.2,780646.0,15306.0,27,Standardized Serverless ML Inference Platform on Kubernetes.,287.0,287.0,223,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-12-14 02:26:04,2023-12-01 19:07:19,7083,65.0,1900,413,1006,763,845,19771,2023-11-28 00:56:54,2.14.2,15.0,0.0,65,Data Apps & Dashboards for Python. No JavaScript Required.,55716.0,55716.0,142,33,True,2,-1.0,['python'],
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-07 16:11:56,2023-12-07 16:11:56,2518,37.0,2136,361,3581,187,3619,13228,2023-11-01 13:36:46,1.8.0,79246.0,1148.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-07 16:11:56,2023-12-07 16:11:56,2518,37.0,2136,361,3581,187,3619,13228,2023-11-01 13:36:46,1.8.0,79246.0,1148.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,1,,,
