,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-08-24 18:00:24,2023-08-24 15:28:41,21043,1195.0,12202,758,22454,680,7134,31417,2023-08-18 16:40:16,2.7.0,524542.0,5463.0,69,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7777.0,7777.0,2958,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-08-24 17:34:32,2023-08-24 17:25:44,4608,255.0,2844,202,5391,869,4433,13299,2023-08-15 18:59:38,3.4.10,2576632.0,99101.0,100,Workflow engine for Kubernetes.,206.0,206.0,793,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-08-24 14:31:58,2023-08-24 14:31:56,8946,202.0,1059,135,5125,554,3870,11896,2023-08-22 23:08:42,3.16.0,38048.0,3170.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,9103.0,9103.0,285,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-08-24 17:38:37,2023-08-24 13:04:10,4558,496.0,3410,292,6176,1012,2081,15068,2023-08-15 07:11:16,2.6.0,,,73,Open source platform for the machine learning lifecycle.,23005.0,23005.0,628,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-08-24 18:01:16,2023-08-24 17:47:07,5573,435.0,1412,130,2314,393,2242,21235,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, in Python Star to support our work!.",12062.0,12062.0,193,35,True,1,['python'],,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-08-24 18:01:29,2023-08-24 18:00:47,15450,892.0,1003,100,9586,1592,4219,8248,2023-08-24 17:51:39,1.4.8,,,100,"An orchestration platform for the development, production, and observation of data assets.",1430.0,1430.0,335,35,True,2,,2.0,
6,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-08-24 18:00:10,2023-08-24 17:57:55,5696,163.0,2312,298,3606,655,2868,26710,2023-07-20 22:07:55,1.25.0,,,62,Streamlit A faster way to build and share data apps.,938.0,938.0,195,34,True,2,['python'],,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-08-23 20:28:02,2023-08-22 19:41:18,6992,147.0,1842,415,983,723,829,19207,2023-08-16 18:05:53,2.12.1,,,61,Data Apps & Dashboards for Python. No JavaScript Required.,50559.0,50559.0,140,34,True,2,['python'],,
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-08-23 11:33:58,2023-08-23 11:33:58,1265,59.0,782,57,1525,314,1156,2376,2023-08-07 01:19:59,0.11.0,472152.0,10045.0,25,Standardized Serverless ML Inference Platform on Kubernetes.,196.0,196.0,210,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-08-24 16:58:29,2023-08-22 18:44:09,2479,30.0,2099,364,3471,331,3412,12890,2023-03-29 15:38:55,1.7.0,79028.0,1215.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,294,33,True,3,,,
