,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-10-12 17:51:29,2023-10-12 17:48:54,21672,1260.0,12449,761,23207,734,7345,32041,2023-10-12 10:58:32,2.7.2,548342.0,5595.0,72,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8166.0,8166.0,3023,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-10-12 03:59:49,2023-10-12 02:58:32,4753,287.0,2875,203,5600,847,4531,13541,2023-09-08 01:14:16,3.4.11,2864558.0,102305.0,100,Workflow Engine for Kubernetes.,199.0,199.0,812,39,True,2,1.0,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-10-12 18:08:05,2023-10-12 17:42:36,4767,410.0,3499,292,6531,994,2207,15533,2023-09-17 21:48:08,2.7.1,,,75,Open source platform for the machine learning lifecycle.,24733.0,24733.0,653,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-10-12 00:47:35,2023-10-12 00:47:08,9020,145.0,1071,135,5194,563,3921,12081,2023-10-09 13:40:05,3.25.0,40647.0,3126.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,9860.0,9860.0,288,37,True,1,-1.0,,
4,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-10-12 17:53:54,2023-10-11 21:06:13,5864,249.0,2409,304,3815,650,2981,27841,2023-10-03 23:30:45,1.27.2,,,66,Streamlit A faster way to build and share data apps.,1014.0,1014.0,201,35,True,1,1.0,['python'],
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-10-12 18:02:48,2023-10-12 11:13:03,5752,338.0,1541,137,2601,403,2502,22572,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",14882.0,14882.0,212,35,True,1,,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-10-12 17:58:18,2023-10-12 17:58:17,16110,1115.0,1047,102,10414,1682,4323,8623,2023-10-09 23:12:14,1.5.2,,,100,"An orchestration platform for the development, production, and observation of data assets.",1570.0,1570.0,350,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-10-12 12:27:25,2023-10-11 14:14:05,7058,121.0,1868,414,996,743,830,19457,2023-10-11 15:59:34,2.14.0,,,63,Data Apps & Dashboards for Python. No JavaScript Required.,52543.0,52543.0,141,34,True,3,,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-10-12 10:12:58,2023-10-08 00:03:57,1287,42.0,803,56,1560,325,1185,2522,2023-09-22 22:53:56,0.11.1,590450.0,12050.0,26,Standardized Serverless ML Inference Platform on Kubernetes.,239.0,239.0,215,33,True,1,-1.0,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-10-12 16:11:00,2023-10-12 16:05:22,2491,32.0,2115,364,3524,201,3571,13049,2023-03-29 15:38:55,1.7.0,79099.0,1180.0,83,Machine Learning Toolkit for Kubernetes.,41.0,41.0,300,32,True,3,-1.0,,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-10-12 16:11:00,2023-10-12 16:05:22,2491,32.0,2115,364,3524,201,3571,13049,2023-03-29 15:38:55,1.7.0,79099.0,1180.0,83,Machine Learning Toolkit for Kubernetes.,41.0,41.0,300,32,True,1,-1.0,,
11,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-10-12 18:03:07,2023-10-12 18:02:26,22076,200.0,555,163,6325,700,2387,5989,2023-10-04 18:12:32,2.7.4,25179.0,4196.0,100,Data-Centric Pipelines and Data Versioning.,,,188,32,True,3,,,
12,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-10-06 08:59:57,2023-10-05 11:06:13,4086,8.0,2286,480,2278,93,879,16845,2023-10-05 11:21:35,3.4.0,,,57,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2219.0,2219.0,605,31,True,3,,,
13,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-10-12 13:02:32,2023-10-12 13:02:28,7923,198.0,2113,242,737,44,1394,5949,2023-09-29 21:29:45,2.13.1,,,100,"A flexible, high-performance serving system for machine learning models.",19.0,19.0,221,31,True,2,1.0,['tensorflow'],
14,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-10-12 17:59:40,2023-10-12 17:59:39,2663,120.0,637,71,3081,164,766,5752,2023-09-08 05:23:14,1.1.6,2110.0,39.0,91,Build Production-Grade AI Applications.,1309.0,1309.0,179,31,True,2,,"['tensorflow', 'pytorch', 'onnx']",
