,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-12-07 18:05:08,2023-12-07 18:05:08,22352,1002.0,12661,758,23971,757,7580,32647,2023-11-06 07:14:17,2.7.3,572035.0,5720.0,73,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8736.0,8736.0,3096,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-12-07 13:55:54,2023-12-06 15:54:08,4917,258.0,2912,204,5793,906,4579,13774,2023-11-27 19:16:42,3.5.2,3172555.0,109398.0,100,Workflow Engine for Kubernetes.,211.0,211.0,823,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-12-07 16:04:31,2023-12-07 11:46:18,9099,134.0,1099,136,5276,577,3951,12590,2023-12-06 16:42:12,3.33.3,46034.0,3836.0,100,ML Experiments Management with Git.,11009.0,11009.0,289,38,True,1,1.0,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-12-07 18:00:43,2023-12-07 16:09:41,5112,504.0,3590,292,7112,1047,2279,15992,2023-12-07 08:00:18,2.9.1,,,79,Open source platform for the machine learning lifecycle.,27040.0,27040.0,680,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-12-07 17:53:54,2023-12-07 17:19:09,5998,381.0,1685,144,3010,420,2887,24547,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",18434.0,18434.0,231,36,True,1,1.0,['python'],
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-12-07 17:58:02,2023-12-07 17:15:22,16630,994.0,1104,104,11042,1865,4466,9101,2023-11-30 23:22:15,1.5.10,,,100,"An orchestration platform for the development, production, and observation of data assets.",1743.0,1743.0,370,36,True,2,1.0,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-12-07 07:14:06,2023-12-03 00:38:20,1318,50.0,819,61,1625,327,1228,2616,2023-11-15 14:13:33,0.11.2,759290.0,14888.0,27,Standardized Serverless ML Inference Platform on Kubernetes.,279.0,279.0,223,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-12-01 19:07:19,2023-12-01 19:07:19,7083,67.0,1899,413,1006,764,842,19739,2023-11-28 00:56:54,2.14.2,9.0,0.0,65,Data Apps & Dashboards for Python. No JavaScript Required.,55335.0,55335.0,142,33,True,2,-1.0,['python'],
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-07 16:11:56,2023-12-07 16:11:56,2518,37.0,2135,361,3581,186,3619,13214,2023-11-01 13:36:46,1.8.0,79232.0,1148.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-12-07 16:11:56,2023-12-07 16:11:56,2518,37.0,2135,361,3581,186,3619,13214,2023-11-01 13:36:46,1.8.0,79232.0,1148.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,1,,,
10,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-12-07 14:02:43,2023-12-07 14:02:40,8125,322.0,2116,240,741,45,1397,5986,2023-11-21 22:22:47,2.14.1,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,222,32,True,2,1.0,['tensorflow'],
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-11-16 12:40:29,2023-10-25 23:50:29,4088,5.0,2284,479,2282,96,879,16943,2023-10-05 11:21:35,3.4.0,,,57,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2261.0,2261.0,607,31,True,3,-1.0,,
12,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-12-07 17:59:03,2023-12-07 17:40:46,22177,166.0,554,164,6488,700,2387,6006,2023-12-04 19:31:40,2.8.1,24059.0,3437.0,100,Data-Centric Pipelines and Data Versioning.,,,188,31,True,3,-1.0,,
13,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-12-07 16:21:18,2023-12-07 05:27:42,2706,81.0,659,75,3139,164,787,5959,2023-11-20 04:07:45,1.1.10,2125.0,37.0,95,Build Production-Grade AI Applications.,1410.0,1410.0,189,31,True,2,,"['tensorflow', 'pytorch', 'onnx']",
14,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2023-12-07 07:00:18,2023-12-06 18:10:27,3602,110.0,767,57,1360,301,1166,3775,2023-10-13 00:21:43,0.9.0,5423.0,123.0,20,"Serve, optimize and scale PyTorch models in production.",559.0,559.0,181,31,True,2,,['pytorch'],
15,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-12-07 06:44:23,2023-12-07 00:26:21,5972,243.0,2507,304,3956,676,3079,28902,2023-11-30 20:05:51,1.29.0,,,70,Streamlit A faster way to build and share data apps.,,,211,30,True,3,-5.0,['python'],
16,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2023-12-07 16:50:27,2023-12-06 19:09:22,3228,96.0,1266,134,3351,305,2887,6487,2023-12-01 23:32:35,2.40.0,205645.0,3371.0,61,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,110,29,True,3,,"['tensorflow', 'pytorch']",
17,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2023-12-07 14:31:59,2023-12-07 14:31:51,2250,60.0,605,91,240,401,515,4897,2023-11-08 21:09:23,1.13.2,1812.0,33.0,90,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",830.0,830.0,88,29,True,3,,,
18,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/HumanSignal/labelImg,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2023-12-07 01:59:46,2022-09-22 22:12:32,449,,5825,392,243,398,363,21069,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,1065.0,1065.0,109,28,False,1,1.0,,HumanSignal/labelImg
19,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2023-12-07 17:24:25,2023-12-05 09:26:11,812,61.0,643,276,1064,249,332,7197,2023-12-04 21:08:28,2.10.8,,,100,Build and manage real-life data science projects with ease!.,560.0,560.0,76,28,True,3,,,
20,voila,data-visualization,voila-dashboards/voila,https://github.com/voila-dashboards/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42,2023-12-05 10:15:47,2023-12-05 10:15:47,1437,20.0,476,77,720,275,424,5007,2023-10-31 09:04:25,0.5.5,984.0,36.0,44,Voil turns Jupyter notebooks into standalone web applications.,10541.0,10541.0,68,28,False,3,,,
21,Seldon,model-serving,SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,Apache-2.0,2017-12-20 14:51:54,2023-11-28 23:59:48,2023-10-09 08:31:40,7304,1.0,785,86,2889,87,2180,4015,2023-08-17 09:13:00,1.17.1,761.0,10.0,62,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models.",522.0,522.0,202,27,True,3,-1.0,"['tensorflow', 'pytorch', 'onnx']",
22,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-11-13 07:23:02,2023-11-13 07:19:19,1344,2.0,360,71,366,97,460,4119,2023-11-13 07:23:02,0.8.5,,,13,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2710.0,2710.0,105,26,True,3,,,
23,TFX,model-training,tensorflow/tfx,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36,2023-12-07 17:03:43,2023-12-07 17:03:38,5428,148.0,668,89,5616,33,846,2029,2023-09-06 18:31:57,1.14.0,,,91,TFX is an end-to-end platform for deploying production ML pipelines.,,,178,25,True,1,,['tensorflow'],
