,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-01-11 17:42:52,2024-01-11 17:42:51,22737,1055.0,12783,757,24419,736,7704,33046,2023-12-18 19:16:17,2.8.0,582650.0,5768.0,74,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9129.0,9129.0,3134,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-01-11 16:59:11,2024-01-11 06:01:52,5006,249.0,2938,205,5903,921,4611,13910,2024-01-11 03:12:46,3.5.3,3410505.0,113683.0,100,Workflow Engine for Kubernetes.,226.0,226.0,833,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-01-11 10:09:45,2024-01-11 10:09:44,9150,127.0,1108,137,5333,504,4048,12748,2024-01-04 16:18:34,3.38.1,45319.0,3776.0,100,ML Experiments Management with Git.,11891.0,11891.0,290,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-01-11 17:48:44,2024-01-11 07:11:11,5214,436.0,3634,292,7245,1064,2293,16227,2023-12-14 15:34:34,2.9.2,,,80,Open source platform for the machine learning lifecycle.,28595.0,28595.0,685,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-01-11 00:38:55,2024-01-11 00:35:25,6111,357.0,1755,145,3140,424,3062,25491,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",20663.0,20663.0,242,36,True,1,['python'],,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-01-11 18:00:35,2024-01-11 17:49:10,16860,729.0,1136,108,11357,1915,4524,9360,2024-01-04 19:43:03,1.5.14,,,100,"An orchestration platform for the development, production, and observation of data assets.",1845.0,1845.0,380,35,True,2,,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-01-10 22:03:01,2024-01-10 22:03:01,1357,70.0,833,61,1671,300,1277,2686,2023-11-15 14:13:33,0.11.2,868658.0,16704.0,28,Standardized Serverless ML Inference Platform on Kubernetes.,305.0,305.0,225,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
7,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-01-10 21:18:44,2023-12-19 06:37:38,2519,23.0,2144,363,3598,194,3623,13314,2023-11-01 13:36:46,1.8.0,79283.0,1132.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,3,,,
8,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-01-10 21:18:44,2023-12-19 06:37:38,2519,23.0,2144,363,3598,194,3623,13314,2023-11-01 13:36:46,1.8.0,79283.0,1132.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,1,,,
9,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-01-11 14:01:44,2024-01-09 17:54:08,7097,39.0,1908,414,1008,767,851,19918,2023-11-28 00:56:54,2.14.2,53.0,1.0,65,Data Apps & Dashboards for Python. No JavaScript Required.,56801.0,56801.0,143,32,True,2,['python'],-1.0,
