,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-08-10 17:55:03,2023-08-10 17:30:23,20788,1092.0,12164,761,22183,707,7028,31258,2023-07-10 23:02:37,2.6.3,517366.0,5389.0,68,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7638.0,7638.0,2932,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-08-10 17:12:54,2023-08-10 17:11:10,4552,218.0,2827,203,5309,867,4409,13266,2023-07-20 15:28:41,3.4.9,2486138.0,95620.0,100,Workflow engine for Kubernetes.,205.0,205.0,784,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-08-10 15:55:54,2023-08-10 10:23:27,8917,218.0,1060,137,5095,562,3849,11844,2023-08-10 01:52:55,3.14.0,35753.0,2979.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,8869.0,8869.0,285,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-08-10 16:37:02,2023-08-10 12:11:44,4471,468.0,3384,291,6053,995,2048,14968,2023-07-17 08:47:14,2.5.0,,,72,Open source platform for the machine learning lifecycle.,22465.0,22465.0,610,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-08-10 16:06:24,2023-08-10 15:02:13,5505,401.0,1385,130,2239,375,2179,20802,2023-07-26 21:14:51,3.39.0,,,100,"Build and share delightful machine learning apps, in Python Star to support our work!.",11282.0,11282.0,190,35,True,1,['python'],,
5,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-08-10 15:52:53,2023-08-10 11:53:00,5663,158.0,2286,298,3558,650,2846,26441,2023-07-20 22:07:55,1.25.0,,,62,Streamlit A faster way to build and share data apps.,921.0,921.0,192,34,True,2,['python'],,
6,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-08-10 17:21:53,2023-07-25 15:55:07,6953,158.0,1837,414,976,721,825,19107,2023-06-29 20:21:49,2.11.1,,,59,Data Apps & Dashboards for Python. No JavaScript Required.,50023.0,50023.0,139,34,True,2,['python'],,
7,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-08-10 17:55:32,2023-08-10 16:56:01,15279,835.0,991,100,9374,1560,4189,8115,2023-08-03 22:23:48,1.4.4,,,100,"An orchestration platform for the development, production, and observation of data assets.",1401.0,1401.0,332,34,True,2,,1.0,
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-08-10 17:11:38,2023-08-06 21:36:10,1257,67.0,776,57,1517,312,1145,2349,2023-08-07 01:19:59,0.11.0,439314.0,9347.0,25,Standardized Serverless ML Inference Platform on Kubernetes.,193.0,193.0,208,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-08-07 15:36:47,2023-08-07 14:01:56,2477,30.0,2095,364,3465,322,3410,12835,2023-03-29 15:38:55,1.7.0,78999.0,1215.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,293,33,True,3,,,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-08-07 15:36:47,2023-08-07 14:01:56,2477,30.0,2095,364,3465,322,3410,12835,2023-03-29 15:38:55,1.7.0,78999.0,1215.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,293,33,True,1,,,
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-07-27 12:36:23,2023-05-04 09:47:52,4078,,2281,481,2272,91,877,16711,2023-05-04 09:55:49,3.3.0,,,56,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2183.0,2183.0,600,31,True,3,,,
12,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-08-10 17:57:53,2023-08-10 17:16:13,21920,182.0,551,162,6096,700,2387,5957,2023-08-09 23:11:03,2.6.9,18552.0,3710.0,100,Data-Centric Pipelines and Data Versioning.,,,183,31,True,3,,,
