,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-10-26 17:57:13,2023-10-26 17:53:41,21825,1260.0,12507,758,23391,743,7405,32192,2023-10-12 10:58:32,2.7.2,554787.0,5661.0,72,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8289.0,8289.0,3040,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-10-26 17:36:52,2023-10-26 11:41:32,4806,291.0,2882,205,5651,863,4544,13574,2023-10-20 13:00:24,3.4.12,2968768.0,106027.0,100,Workflow Engine for Kubernetes.,202.0,202.0,813,39,True,2,1.0,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-10-26 17:43:25,2023-10-26 16:02:05,4888,472.0,3523,293,6730,1001,2238,15647,2023-09-17 21:48:08,2.7.1,,,75,Open source platform for the machine learning lifecycle.,25292.0,25292.0,662,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-10-26 18:00:12,2023-10-26 17:58:45,9039,150.0,1079,135,5219,571,3925,12124,2023-10-18 19:59:54,3.27.0,39532.0,3294.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,10177.0,10177.0,289,37,True,1,-1.0,,
4,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-10-26 17:20:21,2023-10-26 16:34:24,5903,261.0,2432,306,3851,656,3004,28114,2023-10-26 17:18:34,1.28.0,,,67,Streamlit A faster way to build and share data apps.,1030.0,1030.0,203,35,True,1,1.0,['python'],
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-10-26 17:20:03,2023-10-26 04:54:01,5807,342.0,1583,141,2729,438,2558,22960,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",15634.0,15634.0,217,35,True,1,,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-10-26 17:51:25,2023-10-26 16:25:40,16240,1093.0,1062,102,10581,1710,4356,8724,2023-10-19 18:48:39,1.5.4,,,100,"An orchestration platform for the development, production, and observation of data assets.",1622.0,1622.0,355,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-10-26 17:18:02,2023-10-26 17:17:58,7067,114.0,1879,415,999,749,831,19531,2023-10-11 15:59:34,2.14.0,,,63,Data Apps & Dashboards for Python. No JavaScript Required.,53176.0,53176.0,141,34,True,3,,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-10-25 13:13:18,2023-10-24 19:16:20,1294,42.0,806,58,1570,316,1204,2539,2023-09-22 22:53:56,0.11.1,632370.0,12905.0,26,Standardized Serverless ML Inference Platform on Kubernetes.,247.0,247.0,216,33,True,1,-1.0,"['tensorflow', 'pytorch', 'onnx']",
9,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-10-25 23:50:30,2023-10-25 23:50:29,4088,10.0,2284,479,2280,93,879,16872,2023-10-05 11:21:35,3.4.0,,,57,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2228.0,2228.0,606,32,True,3,1.0,,
